,discrate,year,rcp,damages,pulse,variable
2320,5.0,2031.0,rcp45,0.02307392289525819,pulse,ce_betas_SSP3
2321,5.0,2031.0,rcp85,0.023653692735598066,pulse,ce_betas_SSP3
2322,5.0,2032.0,rcp45,0.02371292406076014,pulse,ce_betas_SSP3
2323,5.0,2032.0,rcp85,0.02316901939448853,pulse,ce_betas_SSP3
2324,5.0,2033.0,rcp45,0.022749387197715024,pulse,ce_betas_SSP3
2325,5.0,2033.0,rcp85,0.023128811820853228,pulse,ce_betas_SSP3
2326,5.0,2034.0,rcp45,0.021766801465366765,pulse,ce_betas_SSP3
2327,5.0,2034.0,rcp85,0.020773767853540223,pulse,ce_betas_SSP3
2328,5.0,2035.0,rcp45,0.022749067789105307,pulse,ce_betas_SSP3
2329,5.0,2035.0,rcp85,0.022825280728901456,pulse,ce_betas_SSP3
2330,5.0,2036.0,rcp45,0.022121352595839458,pulse,ce_betas_SSP3
2331,5.0,2036.0,rcp85,0.022976857923712533,pulse,ce_betas_SSP3
2332,5.0,2037.0,rcp45,0.02143899719933992,pulse,ce_betas_SSP3
2333,5.0,2037.0,rcp85,0.022385420173199343,pulse,ce_betas_SSP3
2334,5.0,2038.0,rcp45,0.02183696288618679,pulse,ce_betas_SSP3
2335,5.0,2038.0,rcp85,0.021790211386637493,pulse,ce_betas_SSP3
2336,5.0,2039.0,rcp45,0.022098648116504232,pulse,ce_betas_SSP3
2337,5.0,2039.0,rcp85,0.0215684321387069,pulse,ce_betas_SSP3
2338,5.0,2040.0,rcp45,0.02135042559059737,pulse,ce_betas_SSP3
2339,5.0,2040.0,rcp85,0.02091843560690228,pulse,ce_betas_SSP3
2340,5.0,2041.0,rcp45,0.021132258964940843,pulse,ce_betas_SSP3
2341,5.0,2041.0,rcp85,0.020593721493576182,pulse,ce_betas_SSP3
2342,5.0,2042.0,rcp45,0.022017270787974535,pulse,ce_betas_SSP3
2343,5.0,2042.0,rcp85,0.021929608639200043,pulse,ce_betas_SSP3
2344,5.0,2043.0,rcp45,0.022094111489766793,pulse,ce_betas_SSP3
2345,5.0,2043.0,rcp85,0.022941806180366196,pulse,ce_betas_SSP3
2346,5.0,2044.0,rcp45,0.021832193615299436,pulse,ce_betas_SSP3
2347,5.0,2044.0,rcp85,0.02334731894518288,pulse,ce_betas_SSP3
2348,5.0,2045.0,rcp45,0.0216703508169821,pulse,ce_betas_SSP3
2349,5.0,2045.0,rcp85,0.02348305220900256,pulse,ce_betas_SSP3
2350,5.0,2046.0,rcp45,0.021608756102480968,pulse,ce_betas_SSP3
2351,5.0,2046.0,rcp85,0.024298323106917274,pulse,ce_betas_SSP3
2352,5.0,2047.0,rcp45,0.021199801320498705,pulse,ce_betas_SSP3
2353,5.0,2047.0,rcp85,0.02400668082554752,pulse,ce_betas_SSP3
2354,5.0,2048.0,rcp45,0.020790791680773985,pulse,ce_betas_SSP3
2355,5.0,2048.0,rcp85,0.02397645592948964,pulse,ce_betas_SSP3
2356,5.0,2049.0,rcp45,0.0207039076165469,pulse,ce_betas_SSP3
2357,5.0,2049.0,rcp85,0.02413179190718112,pulse,ce_betas_SSP3
2358,5.0,2050.0,rcp45,0.02036924391465672,pulse,ce_betas_SSP3
2359,5.0,2050.0,rcp85,0.024171798320920135,pulse,ce_betas_SSP3
2360,5.0,2051.0,rcp45,0.020344298276469587,pulse,ce_betas_SSP3
2361,5.0,2051.0,rcp85,0.024413866062531257,pulse,ce_betas_SSP3
2362,5.0,2052.0,rcp45,0.01961333671942774,pulse,ce_betas_SSP3
2363,5.0,2052.0,rcp85,0.023302208698547315,pulse,ce_betas_SSP3
2364,5.0,2053.0,rcp45,0.01945232199879121,pulse,ce_betas_SSP3
2365,5.0,2053.0,rcp85,0.02318543844267501,pulse,ce_betas_SSP3
2366,5.0,2054.0,rcp45,0.01894544898443709,pulse,ce_betas_SSP3
2367,5.0,2054.0,rcp85,0.02277959777008089,pulse,ce_betas_SSP3
2368,5.0,2055.0,rcp45,0.018585243958908638,pulse,ce_betas_SSP3
2369,5.0,2055.0,rcp85,0.022491592913082,pulse,ce_betas_SSP3
2370,5.0,2056.0,rcp45,0.017815800129564484,pulse,ce_betas_SSP3
2371,5.0,2056.0,rcp85,0.022051239438288944,pulse,ce_betas_SSP3
2372,5.0,2057.0,rcp45,0.01748821348797466,pulse,ce_betas_SSP3
2373,5.0,2057.0,rcp85,0.022006003157132185,pulse,ce_betas_SSP3
2374,5.0,2058.0,rcp45,0.017164207590803088,pulse,ce_betas_SSP3
2375,5.0,2058.0,rcp85,0.02183024747807362,pulse,ce_betas_SSP3
2376,5.0,2059.0,rcp45,0.016933996850825635,pulse,ce_betas_SSP3
2377,5.0,2059.0,rcp85,0.021657763430510995,pulse,ce_betas_SSP3
2378,5.0,2060.0,rcp45,0.016485345365300448,pulse,ce_betas_SSP3
2379,5.0,2060.0,rcp85,0.02102448889948936,pulse,ce_betas_SSP3
2380,5.0,2061.0,rcp45,0.016141257270784727,pulse,ce_betas_SSP3
2381,5.0,2061.0,rcp85,0.020776230401106054,pulse,ce_betas_SSP3
2382,5.0,2062.0,rcp45,0.01574531696213258,pulse,ce_betas_SSP3
2383,5.0,2062.0,rcp85,0.020285205105051878,pulse,ce_betas_SSP3
2384,5.0,2063.0,rcp45,0.015005602531644334,pulse,ce_betas_SSP3
2385,5.0,2063.0,rcp85,0.019678070985220952,pulse,ce_betas_SSP3
2386,5.0,2064.0,rcp45,0.014523959792587396,pulse,ce_betas_SSP3
2387,5.0,2064.0,rcp85,0.019004782696970205,pulse,ce_betas_SSP3
2388,5.0,2065.0,rcp45,0.01412278835862913,pulse,ce_betas_SSP3
2389,5.0,2065.0,rcp85,0.01882021901052101,pulse,ce_betas_SSP3
2390,5.0,2066.0,rcp45,0.013761567163192562,pulse,ce_betas_SSP3
2391,5.0,2066.0,rcp85,0.01862077512591737,pulse,ce_betas_SSP3
2392,5.0,2067.0,rcp45,0.013414177569696147,pulse,ce_betas_SSP3
2393,5.0,2067.0,rcp85,0.01810175767643336,pulse,ce_betas_SSP3
2394,5.0,2068.0,rcp45,0.013114322692026798,pulse,ce_betas_SSP3
2395,5.0,2068.0,rcp85,0.017603606487293956,pulse,ce_betas_SSP3
2396,5.0,2069.0,rcp45,0.01261078251741369,pulse,ce_betas_SSP3
2397,5.0,2069.0,rcp85,0.017457187329450695,pulse,ce_betas_SSP3
2398,5.0,2070.0,rcp45,0.012265537811012793,pulse,ce_betas_SSP3
2399,5.0,2070.0,rcp85,0.01720198573071661,pulse,ce_betas_SSP3
2400,5.0,2071.0,rcp45,0.011771901132002889,pulse,ce_betas_SSP3
2401,5.0,2071.0,rcp85,0.016455577679842293,pulse,ce_betas_SSP3
2402,5.0,2072.0,rcp45,0.011384305595191631,pulse,ce_betas_SSP3
2403,5.0,2072.0,rcp85,0.015984747909012473,pulse,ce_betas_SSP3
2404,5.0,2073.0,rcp45,0.011015172568485679,pulse,ce_betas_SSP3
2405,5.0,2073.0,rcp85,0.01562725899534843,pulse,ce_betas_SSP3
2406,5.0,2074.0,rcp45,0.01064969774228327,pulse,ce_betas_SSP3
2407,5.0,2074.0,rcp85,0.015269421447122249,pulse,ce_betas_SSP3
2408,5.0,2075.0,rcp45,0.010305735488489223,pulse,ce_betas_SSP3
2409,5.0,2075.0,rcp85,0.01500620763928556,pulse,ce_betas_SSP3
2410,5.0,2076.0,rcp45,0.010007281421895551,pulse,ce_betas_SSP3
2411,5.0,2076.0,rcp85,0.014546788659771869,pulse,ce_betas_SSP3
2412,5.0,2077.0,rcp45,0.00970641225750472,pulse,ce_betas_SSP3
2413,5.0,2077.0,rcp85,0.014285837452769611,pulse,ce_betas_SSP3
2414,5.0,2078.0,rcp45,0.00949050976603515,pulse,ce_betas_SSP3
2415,5.0,2078.0,rcp85,0.014150108328954027,pulse,ce_betas_SSP3
2416,5.0,2079.0,rcp45,0.009199474152447979,pulse,ce_betas_SSP3
2417,5.0,2079.0,rcp85,0.013800304898427308,pulse,ce_betas_SSP3
2418,5.0,2080.0,rcp45,0.00882830903847666,pulse,ce_betas_SSP3
