temp,risk,bins,poly_2,poly_3,poly_4,spline
-8.1999998,high,34.805908,-109.60545,68.340439,18.824398,-25.568415
-8.1999998,low,5.2754641,-9.0923653,-12.385801,-18.993044,-1.7598898
-8.1000004,high,34.805908,-108.92059,67.146172000000007,18.808527,-25.495777
-8.1000004,low,5.2754641,-9.0248175,-12.252552,-18.724998,-1.7548901
-8,high,34.805908,-108.23787,65.961815,18.787977,-25.42314
-8,low,5.2754641,-8.9575071,-12.120103,-18.459423,-1.7498904
-7.9000001,high,34.805908,-107.55727,64.787346,18.762821,-25.350502
-7.9000001,low,5.2754641,-8.8904343,-11.988455,-18.196304,-1.7448907
-7.8000002,high,34.805908,-106.87881,63.622715,18.733122,-25.277864
-7.8000002,low,5.2754641,-8.8235989,-11.857606,-17.935629,-1.7398911
-7.6999998,high,34.805908,-106.20246,62.467892,18.69895,-25.205227
-7.6999998,low,5.2754641,-8.7570019,-11.727551,-17.677382,-1.7348913
-7.5999999,high,34.805908,-105.52825,61.322849,18.660372,-25.132589
-7.5999999,low,5.2754641,-8.6906424,-11.598292,-17.421549,-1.7298917
-7.5,high,34.805908,-104.85617,60.187542,18.617451,-25.059952
-7.5,low,5.2754641,-8.6245203,-11.469825,-17.168116,-1.724892
-7.4000001,high,34.805908,-104.18621,59.061932,18.570257,-24.987314
-7.4000001,low,5.2754641,-8.5586367,-11.342147,-16.91707,-1.7198923
-7.3000002,high,34.805908,-103.51839,57.945988,18.518856,-24.914677
-7.3000002,low,5.2754641,-8.4929905,-11.215257,-16.668394,-1.7148926
-7.1999998,high,34.805908,-102.85268,56.839668,18.46331,-24.842039
-7.1999998,low,5.2754641,-8.4275808,-11.089152,-16.422075,-1.7098929
-7.0999999,high,34.805908,-102.18911,55.742947,18.403688,-24.769402
-7.0999999,low,5.2754641,-8.3624105,-10.963832,-16.178101,-1.7048932
-7,high,34.805908,-101.52767,54.655777,18.340052,-24.696764
-7,low,5.2754641,-8.2974768,-10.839293,-15.936455,-1.6998936
-6.9000001,high,34.805908,-100.86835,53.578129,18.272469,-24.624126
-6.9000001,low,5.2754641,-8.2327814,-10.715533,-15.697125,-1.6948938
-6.8000002,high,34.805908,-100.21117,52.509968,18.201002,-24.551491
-6.8000002,low,5.2754641,-8.1683235,-10.59255,-15.460096,-1.6898942
-6.6999998,high,34.805908,-99.556107,51.451244,18.125715,-24.478851
-6.6999998,low,5.2754641,-8.1041031,-10.470343,-15.225353,-1.6848944
-6.5999999,high,34.805908,-98.903175,50.401939,18.046671,-24.406214
-6.5999999,low,5.2754641,-8.0401211,-10.348908,-14.992886,-1.6798948
-6.5,high,34.805908,-98.252373,49.362007,17.963934,-24.333576
-6.5,low,5.2754641,-7.9763761,-10.228246,-14.762677,-1.6748952
-6.4000001,high,34.805908,-97.603699,48.331417,17.877565,-24.260941
-6.4000001,low,5.2754641,-7.912869,-10.108352,-14.534714,-1.6698954
-6.3000002,high,34.805908,-96.957153,47.310127,17.78763,-24.188303
-6.3000002,low,5.2754641,-7.8495994,-9.9892244,-14.308984,-1.6648958
-6.1999998,high,34.805908,-96.312729,46.2981,17.694187,-24.115664
-6.1999998,low,5.2754641,-7.7865677,-9.870862,-14.08547,-1.659896
-6.0999999,high,34.805908,-95.670441,45.295307,17.597301,-24.043026
-6.0999999,low,5.2754641,-7.723774,-9.7532625,-13.864162,-1.6548964
-6,high,34.805908,-95.030273,44.301708,17.497034,-23.97039
-6,low,5.2754641,-7.6612177,-9.6364231,-13.645045,-1.6498967
-5.9000001,high,34.805908,-94.392242,43.317268,17.393444,-23.897753
-5.9000001,low,5.2754641,-7.5988989,-9.5203428,-13.428106,-1.644897
-5.8000002,high,34.805908,-93.756332,42.341949,17.286594,-23.825115
-5.8000002,low,5.2754641,-7.5368185,-9.4050188,-13.213331,-1.6398973
-5.6999998,high,34.805908,-93.122551,41.375713,17.176542,-23.752476
-5.6999998,low,5.2754641,-7.4749751,-9.2904482,-13.000705,-1.6348976
-5.5999999,high,34.805908,-92.490906,40.41853,17.063353,-23.679838
-5.5999999,low,5.2754641,-7.4133697,-9.176631,-12.790217,-1.629898
-5.5,high,34.805908,-91.861382,39.47036,16.947081,-23.607203
-5.5,low,5.2754641,-7.3520021,-9.0635643,-12.581853,-1.6248982
-5.4000001,high,34.805908,-91.233986,38.531166,16.827789,-23.534565
-5.4000001,low,5.2754641,-7.2908721,-8.9512453,-12.375598,-1.6198986
-5.3000002,high,34.805908,-90.608719,37.600918,16.705536,-23.461927
