temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_noag,se_high,lowerci_high,upperci_high
.7,27,-49.293819,61.518085,-169.86705,71.279411,-40.262661,77.047577,-191.27313,110.74782
.8,27,-49.106392,61.284176,-169.22118,71.008392,-40.10957,76.754623,-190.54587,110.32672
.9,27,-48.918961,61.050266,-168.57529,70.737366,-39.956478,76.461662,-189.81859,109.90563
1,27,-48.731533,60.81636,-167.9294,70.466339,-39.803391,76.168709,-189.09131,109.48454
1.1,27,-48.544102,60.582451,-167.28352,70.195313,-39.650299,75.875755,-188.36404,109.06344
1.2,27,-48.356674,60.348541,-166.63763,69.924294,-39.497211,75.582794,-187.63676,108.64235
1.3,27,-48.169247,60.114632,-165.99176,69.653267,-39.34412,75.289841,-186.90948,108.22125
1.4,27,-47.981815,59.880722,-165.34587,69.38224,-39.191029,74.99688,-186.18222,107.80016
1.5,27,-47.794388,59.646812,-164.7,69.111221,-39.037941,74.703926,-185.45494,107.37907
1.6,27,-47.60696,59.412903,-164.05411,68.840195,-38.88485,74.410973,-184.72768,106.95797
1.7,27,-47.419529,59.178993,-163.40823,68.569168,-38.731758,74.118011,-184.0004,106.53687
1.8,27,-47.232101,58.945087,-162.76234,68.298149,-38.578671,73.825058,-183.27312,106.11578
1.9,27,-47.04467,58.711178,-162.11647,68.027122,-38.425579,73.532097,-182.54585,105.69469
2,27,-46.857243,58.477268,-161.47058,67.756096,-38.272491,73.239143,-181.81857,105.27359
2.1,27,-46.669815,58.243359,-160.82471,67.485069,-38.1194,72.94619,-181.09129,104.8525
2.2,27,-46.482384,58.009449,-160.17882,67.21405,-37.966309,72.653229,-180.36403,104.4314
2.3,27,-46.294956,57.775539,-159.53293,66.943024,-37.813221,72.360275,-179.63675,104.01031
2.4,27,-46.107525,57.54163,-158.88705,66.671997,-37.66013,72.067314,-178.90947,103.58921
2.5,27,-45.920097,57.307724,-158.24117,66.400978,-37.507042,71.774361,-178.18221,103.16812
2.6,27,-45.73267,57.073814,-157.59529,66.129951,-37.353951,71.481407,-177.45493,102.74702
2.7,27,-45.545238,56.839905,-156.9494,65.858925,-37.200859,71.188446,-176.72765,102.32593
2.8,27,-45.357811,56.605995,-156.30353,65.587898,-37.047771,70.895493,-176.00038,101.90484
2.9,27,-45.170383,56.372086,-155.65764,65.316879,-36.89468,70.602531,-175.2731,101.48374
3,27,-44.982952,56.138176,-155.01176,65.045853,-36.741589,70.309578,-174.54582,101.06264
3.1,27,-44.795525,55.90427,-154.36588,64.774826,-36.588501,70.016617,-173.81856,100.64156
3.2,27,-44.608093,55.670361,-153.72,64.503807,-36.43541,69.723663,-173.09128,100.22046
3.3,27,-44.420666,55.436451,-153.07411,64.23278,-36.282322,69.43071,-172.36401,99.799362
3.4,27,-44.233238,55.202541,-152.42822,63.961754,-36.12923,69.137749,-171.63673,99.378273
3.5,27,-44.045807,54.968632,-151.78235,63.690731,-35.976139,68.844795,-170.90945,98.957176
3.6,27,-43.858379,54.734722,-151.13646,63.419708,-35.823051,68.551834,-170.18219,98.536079
3.7,27,-43.670952,54.500813,-150.49059,63.148682,-35.66996,68.258881,-169.45491,98.11499
3.8,27,-43.483521,54.266907,-149.8447,62.877659,-35.516872,67.965927,-168.72763,97.693893
3.9,27,-43.296093,54.032997,-149.19882,62.606632,-35.363781,67.672966,-168.00037,97.272797
4,27,-43.108662,53.799088,-148.55293,62.335609,-35.21069,67.380013,-167.27309,96.851707
4.1,27,-42.921234,53.565178,-147.90706,62.064587,-35.057602,67.087051,-166.54581,96.430611
4.2,27,-42.733807,53.331268,-147.26117,61.79356,-34.90451,66.794098,-165.81854,96.009514
4.3,27,-42.546375,53.097359,-146.61528,61.522533,-34.751419,66.501144,-165.09126,95.588417
4.4,27,-42.358948,52.863449,-145.96941,61.251511,-34.598331,66.208183,-164.36398,95.167328
4.5,27,-42.17152,52.629539,-145.32352,60.980488,-34.44524,65.91523,-163.63672,94.746231
4.6,27,-41.984089,52.395634,-144.67764,60.709461,-34.292152,65.622269,-162.90944,94.325142
4.7,27,-41.796661,52.161724,-144.03175,60.438438,-34.139061,65.329315,-162.18217,93.904045
4.8,27,-41.60923,51.927814,-143.38588,60.167412,-33.98597,65.036362,-161.4549,93.482948
4.9,27,-41.421803,51.693905,-142.73999,59.896389,-33.832882,64.743401,-160.72762,93.061852
5,27,-41.234375,51.459995,-142.09412,59.625366,-33.67979,64.450447,-160.00034,92.640762
5.1,27,-41.046944,51.226086,-141.44823,59.35434,-33.526703,64.157486,-159.27307,92.219666
5.2,27,-40.859516,50.99218,-140.80235,59.083317,-33.373611,63.864532,-158.54579,91.798576
5.3,27,-40.672085,50.758266,-140.15646,58.81229,-33.22052,63.571575,-157.81851,91.37748
5.4,27,-40.484657,50.524361,-139.51059,58.541267,-33.067432,63.278618,-157.09125,90.956383
5.5,27,-40.29723,50.290451,-138.8647,58.270245,-32.914341,62.985664,-156.36397,90.535286
5.6,27,-40.109798,50.056541,-138.21883,57.999218,-32.761253,62.692707,-155.6367,90.114197
5.7,27,-39.922371,49.822632,-137.57294,57.728195,-32.608162,62.39975,-154.90942,89.6931
5.8,27,-39.73494,49.588722,-136.92705,57.457169,-32.45507,62.106792,-154.18214,89.272003
5.9,27,-39.547512,49.354813,-136.28117,57.186146,-32.301983,61.813835,-153.45488,88.850914
6,27,-39.360085,49.120907,-135.63528,56.915123,-32.148891,61.520882,-152.7276,88.429817
6.1,27,-39.172653,48.886997,-134.98941,56.644096,-31.995802,61.227924,-152.00032,88.00872
6.2,27,-38.985226,48.653088,-134.34352,56.373074,-31.842712,60.934967,-151.27306,87.587631
6.3,27,-38.797798,48.419178,-133.69765,56.102047,-31.689621,60.64201,-150.54578,87.166534
6.4,27,-38.610367,48.185268,-133.05176,55.831024,-31.536531,60.349052,-149.8185,86.745438
6.5,27,-38.422939,47.951359,-132.40588,55.559998,-31.383442,60.056095,-149.09123,86.324348
6.6,27,-38.235512,47.717449,-131.75999,55.288975,-31.230352,59.763142,-148.36395,85.903252
6.7,27,-38.04808,47.483543,-131.11412,55.017952,-31.077263,59.470184,-147.63669,85.482155
6.8,27,-37.860653,47.249634,-130.46823,54.746925,-30.924171,59.177227,-146.90941,85.061058
6.9,27,-37.673222,47.015724,-129.82234,54.475903,-30.771082,58.88427,-146.18213,84.639969
7,27,-37.485794,46.781815,-129.17647,54.204876,-30.617992,58.591312,-145.45486,84.218872
