temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_hr_ag,se_hr_ag,lowerci_hr_ag,upperci_hr_ag,yhat_hr_noag,se_hr_noag,lowerci_hr_noag,upperci_hr_noag
39,27,2.716943,36.267258,-68.36557,73.799461,-163.94873,49.864658,-261.68167,-66.215797,-43.065487,44.78117,-130.83496,44.703995
39.1,27,2.497051,37.099586,-70.216805,75.210907,-168.9848,50.852127,-268.65314,-69.316467,-44.808922,45.754795,-134.48668,44.868832
39.2,27,2.2771726,37.934326,-72.072746,76.62709,-174.02074,51.843746,-275.6326,-72.408859,-46.552299,46.732941,-138.14719,45.04258
39.3,27,2.0572822,38.771347,-73.933167,78.047729,-179.05679,52.839306,-282.61993,-75.493645,-48.295731,47.715351,-141.8161,45.22464
39.4,27,1.8374025,39.610481,-75.797714,79.472519,-184.09274,53.838573,-289.61441,-78.571075,-50.039116,48.701752,-145.4928,45.414558
39.5,27,1.6175106,40.451618,-77.666206,80.90123,-189.12881,54.841358,-296.61591,-81.641724,-51.782555,49.691921,-149.17693,45.611824
39.6,27,1.3976188,41.294628,-79.538361,82.333603,-194.16489,55.847466,-303.6239,-84.705856,-53.52599,50.685631,-152.86801,45.816025
39.7,27,1.1777403,42.139378,-81.413918,83.769402,-199.20082,56.856705,-310.63791,-87.763725,-55.269367,51.682659,-156.56552,46.026783
39.8,27,.9578498,42.98579,-83.292755,85.20845,-204.23686,57.868935,-317.6579,-90.815842,-57.012798,52.682846,-160.26929,46.243687
39.9,27,.73797011,43.833755,-85.174614,86.650551,-209.27281,58.88398,-324.68329,-93.862343,-58.756184,53.685993,-163.97879,46.466431
40,27,.51807821,44.683201,-87.059387,88.095543,-214.30888,59.901718,-331.71411,-96.903679,-60.499619,54.691959,-167.69389,46.694653
40.1,27,.29818636,45.534035,-88.946884,89.543259,-219.34496,60.922009,-338.74991,-99.940018,-62.243057,55.700581,-171.41418,46.928078
40.2,27,.078306645,46.386166,-90.836906,90.993523,-224.38092,61.944706,-345.79031,-102.97152,-63.986443,56.7117,-175.13933,47.166447
40.3,27,-.14158252,47.239544,-92.729385,92.44622,-229.41695,62.969715,-352.83533,-105.99857,-65.729866,57.725208,-178.86919,47.409466
40.4,27,-.36146224,48.094086,-94.624138,93.901215,-234.4529,63.996914,-359.88455,-109.02126,-67.473251,58.740963,-182.60342,47.656925
40.5,27,-.58135408,48.949757,-96.521118,95.358406,-239.48897,65.026215,-366.93799,-112.03994,-69.21669,59.758877,-186.34193,47.908562
40.6,27,-.80124599,49.806484,-98.420158,96.817665,-244.52504,66.057503,-373.99536,-115.05472,-70.960121,60.778828,-190.08444,48.164188
40.7,27,-1.0211257,50.664196,-100.32112,98.27887,-249.56099,67.090683,-381.0563,-118.06568,-72.703506,61.800694,-193.83064,48.423622
40.8,27,-1.2410176,51.522873,-102.22399,99.741959,-254.59706,68.125687,-388.12094,-121.07318,-74.446945,62.824417,-197.58054,48.686646
40.9,27,-1.4608918,52.382431,-104.12857,101.20679,-259.63293,69.162392,-395.18875,-124.07714,-76.1903,63.849857,-201.33372,48.953121
41,27,-1.6807865,53.242882,-106.03491,102.67334,-264.66904,70.20079,-402.26007,-127.07803,-77.933754,64.877007,-205.09035,49.222843
41.1,27,-1.9006783,54.104145,-107.94285,104.14149,-269.70511,71.240768,-409.33444,-130.07579,-79.677193,65.905739,-208.85007,49.495682
41.2,27,-2.120558,54.966175,-109.85228,105.61117,-274.74106,72.282242,-416.41165,-133.07048,-81.420578,66.935966,-212.61267,49.771511
41.3,27,-2.3404498,55.828964,-111.76321,107.08231,-279.77713,73.32518,-423.49185,-136.06242,-83.164017,67.967667,-216.37819,50.050163
41.4,27,-2.5603242,56.69244,-113.67546,108.55482,-284.81302,74.369484,-430.57452,-139.05151,-84.907372,69.00071,-220.14629,50.331543
41.5,27,-2.7802188,57.556625,-115.58913,110.02869,-289.84912,75.415154,-437.6601,-142.03815,-86.650818,70.035118,-223.91713,50.615494
41.6,27,-3.0001106,58.421455,-117.50406,111.50384,-294.88519,76.46209,-444.74814,-145.02226,-88.394257,71.070786,-227.69043,50.90192
41.7,27,-3.2199905,59.286888,-119.42016,112.98018,-299.92114,77.510239,-451.83841,-148.00388,-90.137642,72.107643,-231.46602,51.190735
41.8,27,-3.4398797,60.152927,-121.33745,114.45769,-304.95718,78.55957,-458.93109,-150.98326,-91.881065,73.145668,-235.24393,51.481804
41.9,27,-3.6597567,61.019516,-123.25581,115.9363,-309.9931,79.610016,-466.02585,-153.96034,-93.624435,74.184784,-239.02394,51.775063
42,27,-3.8796511,61.886681,-125.17532,117.41602,-315.02921,80.661575,-473.12299,-156.93542,-95.367889,75.224991,-242.80617,52.070389
42.1,27,-4.0995431,62.75436,-127.09583,118.89674,-320.06528,81.714172,-480.22211,-159.90845,-97.111328,76.26622,-246.59036,52.367714
42.2,27,-4.3194227,63.622524,-129.01727,120.37843,-325.10123,82.767754,-487.32306,-162.87941,-98.854713,77.308403,-250.3764,52.666977
42.3,27,-4.5393119,64.49118,-130.9397,121.86107,-330.13727,83.822319,-494.42599,-165.84854,-100.59813,78.35154,-254.16432,52.96806
42.4,27,-4.7591891,65.360275,-132.86298,123.3446,-335.17319,84.877792,-501.53058,-168.81577,-102.3415,79.395561,-257.95395,53.270931
42.5,27,-4.9790835,66.229851,-134.7872,124.82903,-340.20929,85.934189,-508.63721,-171.78137,-104.08495,80.440475,-261.74539,53.575485
42.6,27,-5.1989756,67.099838,-136.71223,126.31429,-345.24536,86.991447,-515.74548,-174.74525,-105.82839,81.486229,-265.53845,53.881676
42.7,27,-5.4188552,67.970222,-138.63805,127.80033,-350.28131,88.049515,-522.85516,-177.70743,-107.57178,82.532761,-269.33301,54.189453
42.8,27,-5.6387444,68.841011,-140.56464,129.28716,-355.31735,89.108398,-529.96661,-180.66809,-109.3152,83.58007,-273.12912,54.49873
42.9,27,-5.8586211,69.712158,-142.49194,130.7747,-360.35324,90.168037,-537.07935,-183.62715,-111.05857,84.628113,-276.92661,54.809479
43,27,-6.078516,70.583702,-144.42003,132.263,-365.38937,91.228455,-544.19385,-186.58488,-112.80202,85.676903,-280.72565,55.121616
43.1,27,-6.2984104,71.455605,-146.34882,133.752,-370.42548,92.289597,-551.30975,-189.5412,-114.54547,86.726379,-284.52606,55.435108
43.2,27,-6.5182953,72.327827,-148.27823,135.24164,-375.46152,93.351425,-558.42694,-192.49609,-116.28889,87.776512,-288.3277,55.749916
43.3,27,-6.7381687,73.20034,-150.20819,136.73186,-380.49731,94.413872,-565.5451,-195.44951,-118.03222,88.82724,-292.1304,56.065971
43.4,27,-6.9580536,74.073204,-152.13887,138.22276,-385.53333,95.47702,-572.66486,-198.40181,-119.77563,89.878639,-295.93454,56.383251
43.5,27,-7.177948,74.946388,-154.07018,139.71428,-390.56946,96.54081,-579.78595,-201.35294,-121.51909,90.930641,-299.73987,56.701691
