,year,cons,beta1,beta2
235,2250,0.0,-0.10254456679624781,0.668961546290038
236,2251,0.0,-0.10389475352141057,0.6718273495245378
237,2252,0.0,-0.10524494024657344,0.6746931527590377
238,2253,0.0,-0.1065951269717362,0.6775589559935375
239,2254,0.0,-0.107945313696899,0.6804247592280376
240,2255,0.0,-0.10929550042206176,0.6832905624625375
241,2256,0.0,-0.1106456871472246,0.6861563656970373
242,2257,0.0,-0.11199587387238741,0.6890221689315373
243,2258,0.0,-0.11334606059755016,0.6918879721660373
244,2259,0.0,-0.11469624732271295,0.6947537754005371
245,2260,0.0,-0.11604643404787579,0.697619578635037
246,2261,0.0,-0.11739662077303854,0.700485381869537
247,2262,0.0,-0.11874680749820135,0.7033511851040368
248,2263,0.0,-0.12009699422336415,0.7062169883385367
249,2264,0.0,-0.12144718094852698,0.7090827915730367
250,2265,0.0,-0.12279736767368975,0.7119485948075366
251,2266,0.0,-0.12414755439885256,0.7148143980420365
252,2267,0.0,-0.12549774112401532,0.7176802012765364
253,2268,0.0,-0.1268479278491781,0.7205460045110363
254,2269,0.0,-0.12819811457434094,0.7234118077455363
255,2270,0.0,-0.12954830129950373,0.7262776109800362
256,2271,0.0,-0.1308984880246665,0.7291434142145359
257,2272,0.0,-0.13224867474982926,0.7320092174490359
258,2273,0.0,-0.13359886147499211,0.7348750206835359
259,2274,0.0,-0.1349490482001549,0.7377408239180357
260,2275,0.0,-0.13629923492531767,0.7406066271525357
261,2276,0.0,-0.13764942165048047,0.7434724303870357
262,2277,0.0,-0.13899960837564332,0.7463382336215355
263,2278,0.0,-0.14034979510080609,0.7492040368560354
264,2279,0.0,-0.14169998182596888,0.7520698400905353
265,2280,0.0,-0.14305016855113165,0.7549356433250353
266,2281,0.0,-0.1444003552762945,0.7578014465595352
267,2282,0.0,-0.14575054200145726,0.760667249794035
268,2283,0.0,-0.14710072872662006,0.763533053028535
269,2284,0.0,-0.14845091545178285,0.7663988562630349
270,2285,0.0,-0.14980110217694567,0.7692646594975348
271,2286,0.0,-0.15115128890210847,0.7721304627320347
272,2287,0.0,-0.15250147562727123,0.7749962659665347
273,2288,0.0,-0.15385166235243403,0.7778620692010345
274,2289,0.0,-0.15520184907759688,0.7807278724355344
275,2290,0.0,-0.15655203580275964,0.7835936756700344
276,2291,0.0,-0.15790222252792244,0.7864594789045343
277,2292,0.0,-0.1592524092530852,0.7893252821390342
278,2293,0.0,-0.16060259597824805,0.7921910853735341
279,2294,0.0,-0.16195278270341085,0.795056888608034
280,2295,0.0,-0.1633029694285736,0.797922691842534
281,2296,0.0,-0.16465315615373638,0.8007884950770339
282,2297,0.0,-0.16600334287889926,0.8036542983115337
283,2298,0.0,-0.16735352960406197,0.8065201015460337
284,2299,0.0,-0.1687037163292248,0.8093859047805335
285,2300,0.0,-0.17005390305438756,0.8122517080150334
