year,pctile,beta1,beta2
2044,.8,.5781678,-.0006308
2044,.85,.6773646,-.0148245
2044,.9,.812353,-.0408884
2044,.95,1.012113,-.0827845
2045,.05,-.4071866,.0989226
2045,.1,-.2682018,.0988622
2045,.15,-.1635889,.0793393
2045,.2,-.1008782,.0823065
2045,.25,-.0332762,.0690733
2045,.3,.0245134,.0607921
2045,.35,.0749746,.0561315
2045,.4,.1200518,.0557239
2045,.45,.1714332,.0487296
2045,.5,.223833,.0414207
2045,.55,.2823574,.0318257
2045,.6,.3313243,.0283016
2045,.65,.3859642,.0242716
2045,.7,.4450721,.0172475
2045,.75,.5048695,.0131362
2045,.8,.5709171,.0118088
2045,.85,.6669608,-.0013388
2045,.9,.7913789,-.0149992
2045,.95,1.00044,-.0594936
2046,.05,-.4132828,.1066543
2046,.1,-.2659638,.1025824
2046,.15,-.1662455,.0879524
2046,.2,-.1050079,.0915862
2046,.25,-.0361823,.0787354
2046,.3,.0231326,.0703989
2046,.35,.0650601,.0732848
2046,.4,.1126997,.069819
2046,.45,.1633062,.063134
2046,.5,.225381,.0495957
2046,.55,.2778614,.042414
2046,.6,.3238657,.0430914
2046,.65,.3820454,.0383476
2046,.7,.4417237,.0304732
2046,.75,.4867191,.0376202
2046,.8,.5522788,.0395395
2046,.85,.642714,.0271373
2046,.9,.7718618,.0106968
2046,.95,.9649371,-.0188164
2047,.05,-.4118597,.1017912
2047,.1,-.2705889,.1044362
2047,.15,-.1781249,.0950945
2047,.2,-.1107029,.0958527
2047,.25,-.0409335,.0833416
2047,.3,.0194865,.0758885
2047,.35,.0638393,.0790402
2047,.4,.1089672,.0780633
2047,.45,.1611467,.0710869
2047,.5,.216359,.0625876
2047,.55,.2715585,.0528549
2047,.6,.3198344,.0538125
2047,.65,.3835215,.0433943
2047,.7,.4447235,.0347599
2047,.75,.4931687,.0421694
2047,.8,.5627502,.0420813
2047,.85,.6501322,.0324409
2047,.9,.7834418,.0132002
2047,.95,.9789798,-.0168805
2048,.05,-.4776781,.1438557
2048,.1,-.2969379,.120806
2048,.15,-.2063336,.1164871
2048,.2,-.1321312,.1125169
2048,.25,-.0531291,.0942188
2048,.3,.0064776,.0884983
2048,.35,.0582767,.08623
2048,.4,.1005972,.0885347
2048,.45,.1574316,.0788092
2048,.5,.2151312,.0689902
2048,.55,.2635515,.064952
2048,.6,.3142337,.0620928
2048,.65,.3811431,.0511495
2048,.7,.441307,.0444794
2048,.75,.4916168,.0502331
2048,.8,.5549827,.0528692
2048,.85,.6394145,.0469989
2048,.9,.781178,.0228041
2048,.95,.9823991,-.0091937
2049,.05,-.4773336,.1446291
2049,.1,-.2975985,.123518
2049,.15,-.2058024,.1188
2049,.2,-.1235992,.1121752
2049,.25,-.0509883,.0988372
2049,.3,.0023353,.097431
2049,.35,.0518614,.0966559
2049,.4,.1002257,.0951288
2049,.45,.1629115,.0837432
2049,.5,.2181844,.0756961
2049,.55,.2715669,.0680939
2049,.6,.3193867,.0690356
2049,.65,.3913642,.0537066
2049,.7,.4391035,.0587794
2049,.75,.4954718,.0589203
2049,.8,.5620096,.060195
2049,.85,.6520254,.0524861
2049,.9,.7808138,.0393131
2049,.95,.9851682,.0070229
2050,.05,-.4739339,.1432454
2050,.1,-.2916723,.1225768
2050,.15,-.2078682,.1255977
2050,.2,-.1336094,.1203429
2050,.25,-.0653716,.112189
2050,.3,-.0065777,.1066615
2050,.35,.0424552,.1064213
2050,.4,.0972957,.100364
2050,.45,.1645505,.0876373
2050,.5,.2256824,.0765712
2050,.55,.2748412,.0740464
2050,.6,.3301949,.0692145
2050,.65,.3881035,.0661427
2050,.7,.4452592,.0636088
2050,.75,.5055827,.0631554
2050,.8,.5728839,.063909
2050,.85,.661831,.0600788
2050,.9,.7886021,.0443711
2050,.95,.9772392,.0220954
2051,.05,-.4427416,.1287236
2051,.1,-.2889976,.129695
2051,.15,-.1994512,.1277359
