temp,no_wgt_comm,risk_adj_sample_wgt_old_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_old_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_old_high,pop_adj_sample_wgt_high
9.4,259,.000537344448361,.0007002434634273,209,.000485988569892,.000471882734189,50,.0000513558784689,.0002283607292384
9.5,235,.0005499850128956,.0006669093695564,192,.0005105890820118,.0005117348358681,43,.0000393959308838,.0001551745336883
9.6,217,.0007316709734795,.0008556457056557,166,.0006867912613302,.0006709012824899,51,.0000448797121493,.0001847444231657
9.699999999999999,195,.0005029635262304,.0006428411462025,142,.0004562604523812,.0004545384019252,53,.0000467030738491,.0001883027442773
9.800000000000001,210,.0005747152152935,.0006712041925994,164,.000546367200343,.0005450169289816,46,.0000283480149506,.0001261872636178
9.9,199,.0004481994385088,.0005326417070819,160,.0004203212690186,.0004188134022343,39,.0000278781694902,.0001138283048476
10,203,.0005794106017021,.0007229771009065,154,.0005334923310443,.0005254076458527,49,.0000459182706578,.0001975694550538
10.1,211,.0007292614089849,.0008415392558447,167,.0006908702301018,.0006866362294033,44,.000038391178883,.0001549030264414
10.2,205,.0006346057646311,.0007607526590618,155,.000595712525012,.0005895264650917,50,.0000388932396191,.0001712261939701
10.3,246,.0005599965531786,.0007235195169244,174,.000509528471099,.0005150357004879,72,.0000504680820796,.0002084838164365
10.4,187,.0004698503271214,.000654987268689,133,.0004161021475397,.0004118110724676,54,.0000537481795817,.0002431761962214
10.5,217,.0008021383238344,.0009514254114151,176,.0007530480775699,.0007505008825888,41,.0000490902462644,.0002009245288264
10.6,204,.00054402581749,.0006487588115647,154,.00050835593089,.0005059326272203,50,.0000356698866,.0001428261843444
10.7,227,.0005431854716278,.0006435012460884,184,.0005069847816515,.0005137408078326,43,.0000362006899763,.0001297604382557
10.8,238,.000574963231422,.0007540228800167,180,.0005187214169382,.0005313157737703,58,.0000562418144838,.0002227071062464
10.9,252,.0006781975508829,.000798086844668,196,.0006324657479126,.0006270930860524,56,.0000457318029703,.0001709937586156
11,199,.0005536159503663,.0006891150309229,145,.0005092527983379,.0005059812114041,54,.0000443631520284,.0001831338195188
11.1,233,.0006846119945578,.0008511470250312,185,.0006301278438912,.0006341155708185,48,.0000544841506667,.0002170314542127
