temp,no_wgt_comm,risk_adj_sample_wgt_sector_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_sector_low,pop_adj_sample_wgt_low,no_wgt_ag,risk_adj_sample_wgt_sector_ag,pop_adj_sample_wgt_ag,no_wgt_nonag,risk_adj_sample_wgt_sector_nonag,pop_adj_sample_wgt_nonag
5.6,136,.000953712106126,.0005075386856106,107,.0007034302350348,.0003498776060269,8,2.46566388640e-07,.0000348761864188,21,.0002500353047026,.0001227848931649
5.7,240,.0013798367436588,.0006976389406077,189,.0010362528448695,.0005147875981493,3,2.76800942167e-08,.0000143900711009,48,.0003435562186951,.0001684612713575
5.8,150,.0008739912540723,.0004280655946616,121,.0006956261497066,.0003423376308263,1,2.10649386823e-09,7.72376779423e-07,28,.0001783629978718,.0000849555870559
5.9,143,.0010291423212045,.00051000069152,115,.0008354622916613,.0004125378244453,1,5.73278846616e-08,5.32324474989e-06,27,.0001936227016586,.0000921396223248
6,122,.0008585374094991,.0004190590638018,103,.000700271213077,.0003469998024457,0,0,0,19,.0001582661964221,.0000720592613561
6.1,147,.0012377497712137,.000623073729912,113,.0009575453977391,.0004845538990708,2,1.27805186878e-07,.0000118674925034,32,.0002800765682878,.0001266523383379
6.2,212,.0013316852202867,.0006532131577899,166,.0010258927930522,.0005105226458397,2,5.46156586623e-09,2.00256295102e-06,44,.0003057869656686,.0001406879489991
6.3,203,.0013907498544878,.0007015584600367,151,.0009978068472947,.0004978163474902,4,3.27250628818e-08,7.91823845248e-06,48,.0003929102821303,.000195823874094
6.4,208,.0014225375783767,.0007379070915476,170,.0012016932518009,.000600420173555,8,2.33281865381e-07,.0000359435692872,30,.0002206110447105,.0001015433487055
6.5,177,.0012286562324562,.0006019854765213,146,.0009934833328771,.0004890384504392,0,0,0,31,.0002351728995791,.0001129470260821
6.6,150,.000728574036998,.0003626898708831,118,.0005850550857076,.0002928104150897,0,0,0,32,.0001435189512904,.0000698794557934
6.7,155,.0009034559501551,.0004589713820451,133,.0007858035403387,.0003932122220931,2,7.90402090445e-08,7.41728752018e-06,20,.0001175733696073,.0000583418724318
6.8,183,.0011250743420419,.0005614802556124,141,.0008605333652554,.0004347583708864,0,0,0,42,.0002645409767865,.0001267218847261
6.9,240,.0012227453825597,.0006273539972881,186,.0009403330087139,.000468874185799,5,1.37658499932e-07,.0000146122482647,49,.0002822747153459,.0001438675632244
7,208,.0011133837305584,.0005474995064105,155,.0007040393869602,.0003580737285915,2,4.30638968929e-09,1.57900075237e-06,51,.0004093400372085,.0001878467770666
7.1,98,.0006576723903891,.0003283315286353,88,.0005927902841449,.0002978002860345,0,0,0,10,.0000648821062441,.0000305312426008
7.2,140,.0010529321024819,.0005157213832092,111,.0008612970673312,.0004264733892114,0,0,0,29,.0001916350351507,.0000892479939978
7.3,176,.0010367099974857,.0005194185908408,140,.000727986762513,.0003616203345587,2,1.34569624777e-07,.0000124956109175,34,.000308588665348,.0001453026453646
7.4,235,.0013781854655468,.0006898093642747,182,.0010259615490895,.0005121689917473,2,5.64026603200e-09,2.06808601888e-06,51,.0003522182761913,.0001755722865084
