temp,risk,bins,poly2,poly3,poly4,rcs,ref
12.1,high,-92.801109,-14.21189,-20.433378,-10.327563,-70.274971,27
12.2,high,-92.801109,-13.959034,-20.35581,-10.36729,-69.803329,27
12.3,high,-92.801109,-13.708303,-20.275665,-10.404878,-69.331688,27
12.4,high,-92.801109,-13.459702,-20.192982,-10.440329,-68.860046,27
12.5,high,-92.801109,-13.213228,-20.107792,-10.473644,-68.388397,27
12.6,high,-92.801109,-12.968882,-20.020132,-10.504827,-67.916756,27
12.7,high,-92.801109,-12.726666,-19.930042,-10.533877,-67.445114,27
12.8,high,-92.801109,-12.486576,-19.837557,-10.560799,-66.973465,27
12.9,high,-92.801109,-12.248616,-19.74271,-10.585594,-66.501823,27
13,high,-92.801109,-12.012782,-19.64554,-10.608267,-66.030174,27
13.1,high,-92.801109,-11.779076,-19.546082,-10.62882,-65.558533,27
13.2,high,-92.801109,-11.5475,-19.444374,-10.647258,-65.086891,27
13.3,high,-92.801109,-11.318049,-19.34045,-10.663585,-64.615242,27
13.4,high,-92.801109,-11.09073,-19.234346,-10.677804,-64.1436,27
13.5,high,-92.801109,-10.865536,-19.126101,-10.689921,-63.671955,27
13.6,high,-92.801109,-10.64247,-19.015747,-10.699943,-63.20031,27
13.7,high,-92.801109,-10.421535,-18.903324,-10.707872,-62.728668,27
13.8,high,-92.801109,-10.202725,-18.788866,-10.713717,-62.257023,27
13.9,high,-92.801109,-9.9860458,-18.672409,-10.717484,-61.785381,27
14,high,-92.801109,-9.771492,-18.553991,-10.719176,-61.313736,27
14.1,high,-92.801109,-9.5590668,-18.433647,-10.718804,-60.842091,27
14.2,high,-92.801109,-9.3487711,-18.311413,-10.716374,-60.370449,27
14.3,high,-92.801109,-9.1406021,-18.187325,-10.711893,-59.898804,27
14.4,high,-92.801109,-8.9345627,-18.06142,-10.70537,-59.427162,27
14.5,high,-92.801109,-8.730649,-17.933733,-10.696812,-58.955517,27
14.6,high,-92.801109,-8.5288639,-17.8043,-10.686229,-58.483871,27
14.7,high,-92.801109,-8.3292084,-17.673161,-10.673628,-58.01223,27
14.8,high,-92.801109,-8.1316795,-17.540346,-10.65902,-57.540581,27
14.9,high,-92.801109,-7.9362803,-17.405897,-10.642415,-57.068939,27
15,high,52.026459,-7.7430077,-17.269846,-10.623821,-56.597294,27
15.1,high,52.026459,-7.5518627,-17.132231,-10.603251,-56.125648,27
15.2,high,52.026459,-7.3628473,-16.993088,-10.580713,-55.654007,27
15.3,high,52.026459,-7.1759586,-16.852451,-10.55622,-55.182362,27
15.4,high,52.026459,-6.9912,-16.710361,-10.529782,-54.71072,27
15.5,high,52.026459,-6.808567,-16.566849,-10.501411,-54.239075,27
15.6,high,52.026459,-6.6280627,-16.421955,-10.47112,-53.767429,27
15.7,high,52.026459,-6.449688,-16.275713,-10.438921,-53.295788,27
15.8,high,52.026459,-6.2734394,-16.12816,-10.404825,-52.824142,27
15.9,high,52.026459,-6.0993204,-15.979332,-10.368848,-52.352501,27
