,iso,adm0_id,adm1_id,adm2_id,state,master_county_name,NAME_1,NAME_2
320,USA,80000000,80380000,80380085,PA,PENNSYLVANIADAUPHIN,Pennsylvania,Dauphin
321,USA,80000000,80380000,80380085,PA,Dauphin County,Pennsylvania,Dauphin
322,USA,80000000,80380000,80380166,PA,PENNSYLVANIALACKAWANNA,Pennsylvania,Lackawanna
323,USA,80000000,80390000,80390267,RI,RHODEISLANDPROVIDENCE,Rhode Island,Providence
324,USA,80000000,80400000,80400120,SC,SOUTHCAROLINAGREENVILLE,South Carolina,Greenville
325,USA,80000000,80400000,80400120,SC,Greenville County,South Carolina,Greenville
326,USA,80000000,80420000,80420086,TN,TENNESSEEDAVIDSON,Tennessee,Davidson
327,USA,80000000,80420000,80420304,TN,TENNESSEESHELBY,Tennessee,Shelby
328,USA,80000000,80420000,80420124,TN,TENNESSEEHAMILTON,Tennessee,Hamilton
329,USA,80000000,80430000,80430083,TX,TEXASDALLAS,Texas,Dallas
330,USA,80000000,80430000,80430128,TX,TEXASHARRIS,Texas,Harris
331,USA,80000000,80440000,80440283,UT,UTAHSALTLAKE,Utah,Salt Lake
332,USA,80000000,80450000,80450066,VT,VERMONTCHITTENDEN,Vermont,Chittenden
333,USA,80000000,80470000,80470161,WA,WASHINGTONKING,Washington,King
334,USA,80000000,80470000,80470161,WA,King County,Washington,King
335,USA,80000000,80480000,80480155,WV,WESTVIRGINIAKANAWHA,West Virginia,Kanawha
336,USA,80000000,80480000,80480199,WV,WESTVIRGINIAMARSHALL,West Virginia,Marshall
337,USA,80000000,80490000,80490210,WI,WISCONSINMILWAUKEE,Wisconsin,Milwaukee
338,USA,80000000,80000000,80000217,AL,ALABAMAMONTGOMERY,Alabama,Montgomery
339,USA,80000000,80140000,80140007,IN,INDIANAALLEN,Indiana,Allen
340,USA,80000000,80290000,80290280,NH,NEWHAMPSHIREROCKINGHAM,New Hampshire,Rockingham
341,USA,80000000,80320000,80320105,NY,NEWYORKERIE,New York,Erie
342,USA,80000000,80000000,80000212,AL,ALABAMAMOBILE,Alabama,Mobile
343,USA,80000000,80000000,80000212,AL,Mobile County,Alabama,Mobile
344,USA,80000000,80130000,80130251,IL,ILLINOISPEORIA,Illinois,Peoria
345,USA,80000000,80320000,80320236,NY,NEWYORKONEIDA,New York,Oneida
