,discount_type,ssp,year,global_consumption
379,constant_model_collapsed,SSP3,2114,368610300000000.0
380,constant_model_collapsed,SSP3,2115,370260900000000.0
381,constant_model_collapsed,SSP3,2116,371918900000000.0
382,constant_model_collapsed,SSP3,2117,373584270000000.0
383,constant_model_collapsed,SSP3,2118,375257160000000.0
384,constant_model_collapsed,SSP3,2119,376937500000000.0
385,constant_model_collapsed,SSP3,2120,378625400000000.0
386,constant_model_collapsed,SSP3,2121,380320830000000.0
387,constant_model_collapsed,SSP3,2122,382023820000000.0
388,constant_model_collapsed,SSP3,2123,383734500000000.0
389,constant_model_collapsed,SSP3,2124,385452780000000.0
390,constant_model_collapsed,SSP3,2125,387178820000000.0
391,constant_model_collapsed,SSP3,2126,388912540000000.0
392,constant_model_collapsed,SSP3,2127,390654020000000.0
393,constant_model_collapsed,SSP3,2128,392403350000000.0
394,constant_model_collapsed,SSP3,2129,394160460000000.0
395,constant_model_collapsed,SSP3,2130,395925450000000.0
396,constant_model_collapsed,SSP3,2131,397698340000000.0
397,constant_model_collapsed,SSP3,2132,399479170000000.0
398,constant_model_collapsed,SSP3,2133,401267960000000.0
399,constant_model_collapsed,SSP3,2134,403064760000000.0
400,constant_model_collapsed,SSP3,2135,404869620000000.0
401,constant_model_collapsed,SSP3,2136,406682600000000.0
402,constant_model_collapsed,SSP3,2137,408503670000000.0
403,constant_model_collapsed,SSP3,2138,410332850000000.0
404,constant_model_collapsed,SSP3,2139,412170300000000.0
405,constant_model_collapsed,SSP3,2140,414015920000000.0
406,constant_model_collapsed,SSP3,2141,415869770000000.0
407,constant_model_collapsed,SSP3,2142,417732000000000.0
408,constant_model_collapsed,SSP3,2143,419602500000000.0
409,constant_model_collapsed,SSP3,2144,421481400000000.0
410,constant_model_collapsed,SSP3,2145,423368800000000.0
411,constant_model_collapsed,SSP3,2146,425264580000000.0
412,constant_model_collapsed,SSP3,2147,427168820000000.0
413,constant_model_collapsed,SSP3,2148,429081630000000.0
414,constant_model_collapsed,SSP3,2149,431003020000000.0
415,constant_model_collapsed,SSP3,2150,432932970000000.0
416,constant_model_collapsed,SSP3,2151,434871600000000.0
417,constant_model_collapsed,SSP3,2152,436818880000000.0
418,constant_model_collapsed,SSP3,2153,438774900000000.0
419,constant_model_collapsed,SSP3,2154,440739650000000.0
420,constant_model_collapsed,SSP3,2155,442713180000000.0
421,constant_model_collapsed,SSP3,2156,444695600000000.0
422,constant_model_collapsed,SSP3,2157,446686900000000.0
423,constant_model_collapsed,SSP3,2158,448687150000000.0
424,constant_model_collapsed,SSP3,2159,450696250000000.0
425,constant_model_collapsed,SSP3,2160,452714400000000.0
426,constant_model_collapsed,SSP3,2161,454741540000000.0
427,constant_model_collapsed,SSP3,2162,456777860000000.0
428,constant_model_collapsed,SSP3,2163,458823200000000.0
429,constant_model_collapsed,SSP3,2164,460877770000000.0
430,constant_model_collapsed,SSP3,2165,462941500000000.0
431,constant_model_collapsed,SSP3,2166,465014500000000.0
432,constant_model_collapsed,SSP3,2167,467096800000000.0
433,constant_model_collapsed,SSP3,2168,469188430000000.0
434,constant_model_collapsed,SSP3,2169,471289350000000.0
435,constant_model_collapsed,SSP3,2170,473399700000000.0
436,constant_model_collapsed,SSP3,2171,475519500000000.0
437,constant_model_collapsed,SSP3,2172,477648800000000.0
438,constant_model_collapsed,SSP3,2173,479787600000000.0
439,constant_model_collapsed,SSP3,2174,481936070000000.0
440,constant_model_collapsed,SSP3,2175,484094100000000.0
441,constant_model_collapsed,SSP3,2176,486261800000000.0
442,constant_model_collapsed,SSP3,2177,488439200000000.0
443,constant_model_collapsed,SSP3,2178,490626400000000.0
444,constant_model_collapsed,SSP3,2179,492823300000000.0
445,constant_model_collapsed,SSP3,2180,495030150000000.0
446,constant_model_collapsed,SSP3,2181,497246800000000.0
447,constant_model_collapsed,SSP3,2182,499473400000000.0
448,constant_model_collapsed,SSP3,2183,501709960000000.0
449,constant_model_collapsed,SSP3,2184,503956560000000.0
450,constant_model_collapsed,SSP3,2185,506213200000000.0
451,constant_model_collapsed,SSP3,2186,508479940000000.0
452,constant_model_collapsed,SSP3,2187,510756840000000.0
453,constant_model_collapsed,SSP3,2188,513043940000000.0
454,constant_model_collapsed,SSP3,2189,515341280000000.0
455,constant_model_collapsed,SSP3,2190,517648900000000.0
456,constant_model_collapsed,SSP3,2191,519966860000000.0
457,constant_model_collapsed,SSP3,2192,522295240000000.0
458,constant_model_collapsed,SSP3,2193,524633950000000.0
459,constant_model_collapsed,SSP3,2194,526983160000000.0
460,constant_model_collapsed,SSP3,2195,529342940000000.0
461,constant_model_collapsed,SSP3,2196,531713260000000.0
462,constant_model_collapsed,SSP3,2197,534094200000000.0
463,constant_model_collapsed,SSP3,2198,536485800000000.0
464,constant_model_collapsed,SSP3,2199,538888140000000.0
465,constant_model_collapsed,SSP3,2200,541301140000000.0
466,constant_model_collapsed,SSP3,2201,543725000000000.0
467,constant_model_collapsed,SSP3,2202,546159800000000.0
468,constant_model_collapsed,SSP3,2203,548605400000000.0
469,constant_model_collapsed,SSP3,2204,551061950000000.0
470,constant_model_collapsed,SSP3,2205,553529550000000.0
471,constant_model_collapsed,SSP3,2206,556008180000000.0
472,constant_model_collapsed,SSP3,2207,558497900000000.0
473,constant_model_collapsed,SSP3,2208,560998730000000.0
474,constant_model_collapsed,SSP3,2209,563510850000000.0
475,constant_model_collapsed,SSP3,2210,566034140000000.0
476,constant_model_collapsed,SSP3,2211,568568840000000.0
477,constant_model_collapsed,SSP3,2212,571114800000000.0
478,constant_model_collapsed,SSP3,2213,573672140000000.0
479,constant_model_collapsed,SSP3,2214,576240900000000.0
480,constant_model_collapsed,SSP3,2215,578821330000000.0
481,constant_model_collapsed,SSP3,2216,581413200000000.0
482,constant_model_collapsed,SSP3,2217,584016700000000.0
483,constant_model_collapsed,SSP3,2218,586631800000000.0
484,constant_model_collapsed,SSP3,2219,589258640000000.0
485,constant_model_collapsed,SSP3,2220,591897300000000.0
486,constant_model_collapsed,SSP3,2221,594547700000000.0
487,constant_model_collapsed,SSP3,2222,597210040000000.0
488,constant_model_collapsed,SSP3,2223,599884260000000.0
489,constant_model_collapsed,SSP3,2224,602570400000000.0
490,constant_model_collapsed,SSP3,2225,605268740000000.0
491,constant_model_collapsed,SSP3,2226,607979000000000.0
492,constant_model_collapsed,SSP3,2227,610701500000000.0
493,constant_model_collapsed,SSP3,2228,613436100000000.0
494,constant_model_collapsed,SSP3,2229,616183000000000.0
495,constant_model_collapsed,SSP3,2230,618942200000000.0
496,constant_model_collapsed,SSP3,2231,621713700000000.0
497,constant_model_collapsed,SSP3,2232,624497640000000.0
498,constant_model_collapsed,SSP3,2233,627294070000000.0
499,constant_model_collapsed,SSP3,2234,630103000000000.0
500,constant_model_collapsed,SSP3,2235,632924600000000.0
501,constant_model_collapsed,SSP3,2236,635758640000000.0
502,constant_model_collapsed,SSP3,2237,638605500000000.0
503,constant_model_collapsed,SSP3,2238,641465040000000.0
504,constant_model_collapsed,SSP3,2239,644337440000000.0
505,constant_model_collapsed,SSP3,2240,647222650000000.0
506,constant_model_collapsed,SSP3,2241,650120900000000.0
507,constant_model_collapsed,SSP3,2242,653032000000000.0
508,constant_model_collapsed,SSP3,2243,655956100000000.0
509,constant_model_collapsed,SSP3,2244,658893400000000.0
510,constant_model_collapsed,SSP3,2245,661843800000000.0
511,constant_model_collapsed,SSP3,2246,664807450000000.0
512,constant_model_collapsed,SSP3,2247,667784400000000.0
513,constant_model_collapsed,SSP3,2248,670774640000000.0
514,constant_model_collapsed,SSP3,2249,673778300000000.0
515,constant_model_collapsed,SSP3,2250,676795400000000.0
516,constant_model_collapsed,SSP3,2251,679825950000000.0
517,constant_model_collapsed,SSP3,2252,682870140000000.0
518,constant_model_collapsed,SSP3,2253,685927950000000.0
519,constant_model_collapsed,SSP3,2254,688999460000000.0
520,constant_model_collapsed,SSP3,2255,692084650000000.0
521,constant_model_collapsed,SSP3,2256,695183700000000.0
522,constant_model_collapsed,SSP3,2257,698296600000000.0
523,constant_model_collapsed,SSP3,2258,701423500000000.0
524,constant_model_collapsed,SSP3,2259,704564350000000.0
525,constant_model_collapsed,SSP3,2260,707719200000000.0
526,constant_model_collapsed,SSP3,2261,710888300000000.0
527,constant_model_collapsed,SSP3,2262,714071500000000.0
528,constant_model_collapsed,SSP3,2263,717269000000000.0
529,constant_model_collapsed,SSP3,2264,720480800000000.0
530,constant_model_collapsed,SSP3,2265,723707100000000.0
531,constant_model_collapsed,SSP3,2266,726947800000000.0
532,constant_model_collapsed,SSP3,2267,730202960000000.0
533,constant_model_collapsed,SSP3,2268,733472640000000.0
534,constant_model_collapsed,SSP3,2269,736757000000000.0
535,constant_model_collapsed,SSP3,2270,740056000000000.0
536,constant_model_collapsed,SSP3,2271,743369850000000.0
537,constant_model_collapsed,SSP3,2272,746698650000000.0
538,constant_model_collapsed,SSP3,2273,750042200000000.0
539,constant_model_collapsed,SSP3,2274,753400800000000.0
540,constant_model_collapsed,SSP3,2275,756774400000000.0
541,constant_model_collapsed,SSP3,2276,760163100000000.0
542,constant_model_collapsed,SSP3,2277,763567100000000.0
543,constant_model_collapsed,SSP3,2278,766986200000000.0
544,constant_model_collapsed,SSP3,2279,770420600000000.0
545,constant_model_collapsed,SSP3,2280,773870500000000.0
546,constant_model_collapsed,SSP3,2281,777335700000000.0
547,constant_model_collapsed,SSP3,2282,780816500000000.0
548,constant_model_collapsed,SSP3,2283,784312900000000.0
549,constant_model_collapsed,SSP3,2284,787824900000000.0
550,constant_model_collapsed,SSP3,2285,791352700000000.0
551,constant_model_collapsed,SSP3,2286,794896240000000.0
552,constant_model_collapsed,SSP3,2287,798455700000000.0
553,constant_model_collapsed,SSP3,2288,802031050000000.0
554,constant_model_collapsed,SSP3,2289,805622450000000.0
555,constant_model_collapsed,SSP3,2290,809229900000000.0
556,constant_model_collapsed,SSP3,2291,812853500000000.0
557,constant_model_collapsed,SSP3,2292,816493300000000.0
558,constant_model_collapsed,SSP3,2293,820149440000000.0
559,constant_model_collapsed,SSP3,2294,823822000000000.0
560,constant_model_collapsed,SSP3,2295,827510900000000.0
561,constant_model_collapsed,SSP3,2296,831216400000000.0
562,constant_model_collapsed,SSP3,2297,834938500000000.0
563,constant_model_collapsed,SSP3,2298,838677200000000.0
564,constant_model_collapsed,SSP3,2299,842432700000000.0
565,constant_model_collapsed,SSP3,2300,846205000000000.0
566,constant_model_collapsed,SSP4,2018,120433836000000.0
567,constant_model_collapsed,SSP4,2019,125622000000000.0
568,constant_model_collapsed,SSP4,2020,131110540000000.0
569,constant_model_collapsed,SSP4,2021,135785060000000.0
570,constant_model_collapsed,SSP4,2022,140663180000000.0
571,constant_model_collapsed,SSP4,2023,145755650000000.0
572,constant_model_collapsed,SSP4,2024,151073200000000.0
573,constant_model_collapsed,SSP4,2025,156627500000000.0
574,constant_model_collapsed,SSP4,2026,161195610000000.0
575,constant_model_collapsed,SSP4,2027,165915480000000.0
576,constant_model_collapsed,SSP4,2028,170795350000000.0
577,constant_model_collapsed,SSP4,2029,175839180000000.0
578,constant_model_collapsed,SSP4,2030,181053930000000.0
579,constant_model_collapsed,SSP4,2031,185340960000000.0
580,constant_model_collapsed,SSP4,2032,189739200000000.0
581,constant_model_collapsed,SSP4,2033,194252610000000.0
582,constant_model_collapsed,SSP4,2034,198884100000000.0
583,constant_model_collapsed,SSP4,2035,203639180000000.0
584,constant_model_collapsed,SSP4,2036,207600700000000.0
585,constant_model_collapsed,SSP4,2037,211648770000000.0
586,constant_model_collapsed,SSP4,2038,215783520000000.0
587,constant_model_collapsed,SSP4,2039,220007920000000.0
588,constant_model_collapsed,SSP4,2040,224323200000000.0
589,constant_model_collapsed,SSP4,2041,227946930000000.0
590,constant_model_collapsed,SSP4,2042,231635300000000.0
591,constant_model_collapsed,SSP4,2043,235392090000000.0
592,constant_model_collapsed,SSP4,2044,239217010000000.0
593,constant_model_collapsed,SSP4,2045,243111840000000.0
594,constant_model_collapsed,SSP4,2046,246310970000000.0
595,constant_model_collapsed,SSP4,2047,249561290000000.0
596,constant_model_collapsed,SSP4,2048,252860860000000.0
597,constant_model_collapsed,SSP4,2049,256212150000000.0
598,constant_model_collapsed,SSP4,2050,259616480000000.0
599,constant_model_collapsed,SSP4,2051,262549350000000.0
600,constant_model_collapsed,SSP4,2052,265525110000000.0
601,constant_model_collapsed,SSP4,2053,268543130000000.0
602,constant_model_collapsed,SSP4,2054,271603460000000.0
603,constant_model_collapsed,SSP4,2055,274708020000000.0
604,constant_model_collapsed,SSP4,2056,277504080000000.0
605,constant_model_collapsed,SSP4,2057,280337620000000.0
606,constant_model_collapsed,SSP4,2058,283206720000000.0
607,constant_model_collapsed,SSP4,2059,286115250000000.0
608,constant_model_collapsed,SSP4,2060,289063040000000.0
609,constant_model_collapsed,SSP4,2061,291748140000000.0
610,constant_model_collapsed,SSP4,2062,294466580000000.0
611,constant_model_collapsed,SSP4,2063,297216700000000.0
612,constant_model_collapsed,SSP4,2064,299999980000000.0
613,constant_model_collapsed,SSP4,2065,302816530000000.0
614,constant_model_collapsed,SSP4,2066,305288960000000.0
615,constant_model_collapsed,SSP4,2067,307786850000000.0
616,constant_model_collapsed,SSP4,2068,310311320000000.0
