temp,no_wgt_comm,no_wgt_low,no_wgt_ag,no_wgt_nonag,pop_wgt_comm,risk_wgt_sector_low,risk_wgt_sector_ag,risk_wgt_sector_nonag,frac_no_wgt_comm,frac_no_wgt_low,frac_no_wgt_ag,frac_no_wgt_nonag,frac_pop_wgt_comm,frac_risk_wgt_sector_low,frac_risk_wgt_sector_ag,frac_risk_wgt_sector_nonag
-2.7,23,13,0,10,.0000906482563864,.0001195543766244,0,.0000658052094877,3.48703950801e-06,3.11315504374e-06,0,4.90254236042e-06,.0000930457142335,.0001965724030299,0,.0002294562830877
-2.6,20,18,0,2,.000046245371375,.0000861281298512,0,6.83643884258e-06,3.03220826783e-06,4.31052236826e-06,0,9.80508472083e-07,.0000474684652646,.0001416126613793,0,.0000238379887943
-2.5,36,28,0,8,.0001721365771377,.0001921614338016,0,.0001630259453123,5.45797488210e-06,6.70525701729e-06,0,3.92203388833e-06,.0001766892315854,.0003159535926546,0,.0005684554118043
-2.4,35,31,0,4,.0000787341921946,.0001390741231262,0,.0000197397371267,5.30636446870e-06,7.42367741200e-06,0,1.96101694417e-06,.0000808165478232,.0002286669493337,0,.0000688305188217
-2.3,51,49,0,2,.0001516513113007,.000295709722991,0,8.20108380140e-06,7.73213108297e-06,.0000117341997803,0,9.80508472083e-07,.0001556621730732,.0004862086398583,0,.0000285963713361
-2.2,30,25,0,5,.0000848724768114,.0001475590843256,0,.0000238042210867,4.54831240175e-06,5.98683662258e-06,0,2.45127118021e-06,.0000871171773014,.0002426180003925,0,.0000830029740028
-2.1,39,28,1,10,.0001230708251205,.0001984213420201,3.34279226522e-09,.0000473088296076,5.91280612227e-06,6.70525701729e-06,2.62973121517e-06,4.90254236042e-06,.0001263257924766,.0003262461911859,6.01644908777e-08,.0001649612285029
-2,40,23,4,13,.0000917607733505,.0001206098819466,1.27396804217e-08,.0000527008160134,6.06441653566e-06,5.50788969277e-06,.0000105189248607,6.37330506854e-06,.0000941876549574,.0001983078745656,2.29292258000e-07,.0001837625539415
-1.9,48,38,0,10,.0001104270994662,.0001942960743122,0,.0000284993164996,7.27729984280e-06,9.09999166632e-06,0,4.90254236042e-06,.0001133476665757,.0003194633881688,0,.0000993743091991
-1.8,33,29,0,4,.0000890605898657,.0001631924948242,0,.000013069657598,5.00314364192e-06,6.94473048219e-06,0,1.96101694417e-06,.0000914160572353,.0002683225973804,0,.000045572608567
-1.7,35,30,0,5,.0000793566623745,.0001058779403138,0,.0000566350640838,5.30636446870e-06,7.18420394710e-06,0,2.45127118021e-06,.0000814554810447,.0001740854809584,0,.0001974808894048
-1.6,22,22,0,0,.0000430374313366,.0000860926639916,0,0,3.33542909461e-06,5.26841622787e-06,0,0,.0000441756818842,.0001415543480876,0,0
-1.5,37,22,0,15,.0000824779308548,.0001091378123874,0,.0000598316269134,5.60958529549e-06,5.26841622787e-06,0,7.35381354063e-06,.0000846593005845,.0001794453925332,0,.0002086269891017
-1.4,36,30,2,4,.0001059382247338,.0001392755864345,1.29773894741e-07,.0000474930106975,5.45797488210e-06,7.18420394710e-06,5.25946243034e-06,1.96101694417e-06,.0001087400704429,.0002289981971537,2.33570610641e-06,.00016560344982
-1.3,44,33,2,9,.0000980447697549,.0001390891534356,3.96699961769e-09,.0000565171067137,6.67085818923e-06,7.90262434181e-06,5.25946243034e-06,4.41228812438e-06,.0001006378499969,.0002286916623064,7.13991457961e-08,.0001970695836752
-1.2,26,16,0,10,.0000597978877728,.0000605882811442,0,.0000632382722188,3.94187074818e-06,3.83157543845e-06,0,4.90254236042e-06,.0000613794175339,.0000996198077916,0,.0002205056256969
-1.1,32,31,0,1,.0000576163501837,.0001138934206324,0,1.46022773606e-06,4.85153322853e-06,7.42367741200e-06,0,4.90254236042e-07,.0000591401828129,.0001872646072452,0,5.09167027028e-06
-1,29,20,0,9,.0000902849822804,.0001142030671417,0,.0000711355364729,4.39670198836e-06,4.78946929806e-06,0,4.41228812438e-06,.0000926728322829,.000187773730877,0,.0002480426082005
-.9,27,27,0,0,.0000555508087777,.0001111245925358,0,0,4.09348116157e-06,6.46578355239e-06,0,0,.0000570200121327,.0001827120746831,0,0
-.8,31,25,0,6,.0000954828980101,.0001538085715538,0,.0000398469805987,4.69992281514e-06,5.98683662258e-06,0,2.94152541625e-06,.0000980082220727,.0002528934646359,0,.000138942496067
-.7,41,37,0,4,.0001172648692813,.0001978277473427,0,.0000393689604152,6.21602694905e-06,8.86051820142e-06,0,1.96101694417e-06,.0001203662811809,.0003252701973707,0,.0001372756867766
-.6,34,26,2,6,.0001015099614417,.0001742271000467,6.67785027275e-09,.000023166074925,5.15475405531e-06,6.22631008748e-06,5.25946243034e-06,2.94152541625e-06,.0001041946887968,.0002864657965363,1.20189778467e-07,.0000807778212
-.5,49,30,0,19,.0001325404858156,.0001268668507919,0,.0001507766592113,7.42891025619e-06,7.18420394710e-06,0,9.31483048479e-06,.0001360459060017,.0002085956401525,0,.0005257433578333
-.4,49,34,4,11,.0001706615169337,.0002558332156468,3.49080337969e-08,.0000512840019837,7.42891025619e-06,8.14209780671e-06,.0000105189248607,5.39279659646e-06,.0001751751591069,.0004206433205918,6.28284354606e-07,.0001788222629888
-.3,51,40,0,11,.0001081965238103,.0001696476601865,0,.0000501239319419,7.73213108297e-06,9.57893859613e-06,0,5.39279659646e-06,.000111058096833,.000278936239499,0,.0001747772130302
-.2,40,33,0,7,.000086507671892,.0001476083962189,0,.0000272555170682,6.06441653566e-06,7.90262434181e-06,0,3.43177965229e-06,.0000887956198909,.0002426990794598,0,.0000950373031069
-.1,44,35,0,9,.000084472059334,.0001237388644313,0,.0000484635538669,6.67085818923e-06,8.38157127161e-06,0,4.41228812438e-06,.0000867061696145,.0002034525762773,0,.0001689876382446
0,70,45,0,25,.0002043765166724,.0002662896931724,0,.0001442065424726,.0000106127289374,.0000107763059206,0,.000012256355901,.0002097818504667,.000437835956884,0,.0005028340079803
.1,48,32,0,16,.0001254235033637,.0001372069507397,0,.0001285768623802,7.27729984280e-06,7.66315087690e-06,0,7.84406777667e-06,.0001287406941661,.0002255969273634,0,.00044833485316
.2,64,53,0,11,.0001818922500967,.0002968304980868,0,.0000658204088495,9.70306645706e-06,.0000126920936399,0,5.39279659646e-06,.0001867029218039,.0004880514285547,0,.000229509281765
