temp,ref,yhat_agri,se_agri,lowerci_agri,upperci_agri,yhat_high,se_high,lowerci_high,upperci_high
-3.4,27,-98.076729,48.582722,-193.29712,-2.8563466,-22.138903,21.541122,-64.358727,20.080921
-3.3,27,-97.754112,48.422909,-192.66127,-2.8469508,-22.066078,21.470263,-64.147018,20.014866
-3.2,27,-97.431488,48.2631,-192.02542,-2.8375547,-21.993252,21.399405,-63.935314,19.948809
-3.1,27,-97.108871,48.103287,-191.38957,-2.8281589,-21.920427,21.328545,-63.723606,19.882753
-3,27,-96.786247,47.943474,-190.75374,-2.818763,-21.847601,21.257687,-63.511902,19.816698
-2.9,27,-96.463631,47.783665,-190.11789,-2.8093672,-21.774776,21.186827,-63.300194,19.750643
-2.8,27,-96.141006,47.623852,-189.48204,-2.7999713,-21.70195,21.115969,-63.08849,19.684587
-2.7,27,-95.818382,47.464043,-188.84619,-2.7905755,-21.629126,21.045109,-62.876781,19.61853
-2.6,27,-95.495766,47.30423,-188.21034,-2.7811794,-21.556299,20.974251,-62.665077,19.552475
-2.5,27,-95.173141,47.144417,-187.57451,-2.7717836,-21.483475,20.903391,-62.453369,19.48642
-2.4,27,-94.850525,46.984608,-186.93866,-2.7623878,-21.41065,20.832533,-62.241665,19.420364
-2.3,27,-94.527901,46.824795,-186.30281,-2.7529919,-21.337824,20.761673,-62.029957,19.354309
-2.2,27,-94.205284,46.664982,-185.66696,-2.7435961,-21.264999,20.690815,-61.818249,19.288254
-2.1,27,-93.88266,46.505173,-185.03113,-2.7342002,-21.192173,20.619955,-61.606544,19.222197
-2,27,-93.560043,46.34536,-184.39528,-2.7248042,-21.119349,20.549097,-61.394836,19.156141
-1.9,27,-93.237419,46.185547,-183.75943,-2.7154083,-21.046522,20.478237,-61.183132,19.090086
-1.8,27,-92.914795,46.025738,-183.12358,-2.7060125,-20.973698,20.407379,-60.971424,19.024031
-1.7,27,-92.592178,45.865925,-182.48773,-2.6966166,-20.900871,20.336519,-60.75972,18.957975
-1.6,27,-92.269554,45.706112,-181.8519,-2.6872208,-20.828047,20.265661,-60.548012,18.891918
-1.5,27,-91.946938,45.546303,-181.21605,-2.677825,-20.75522,20.194801,-60.336308,18.825863
