temp,ref,yhat_comm,se_comm,lomacoerci_comm,upperci_comm,yhat_lomaco,se_lomaco,lomacoerci_lomaco,upperci_lomaco,yhat_low,se_low,lowerci_low,upperci_low
-10.6,27,-15.057798,9.2075634,-33.10429,2.9886954,-2.4757173,8.6774874,-19.483278,14.531845,-2.0137734,10.766466,-23.11566,19.088112
-10.5,27,-15.017751,9.1830759,-33.016247,2.9807467,-2.4691329,8.6544085,-19.431461,14.493196,-2.0084178,10.737832,-23.054182,19.037346
-10.4,27,-14.977703,9.1585875,-32.928204,2.9727981,-2.4625485,8.6313295,-19.379644,14.454548,-2.003062,10.709197,-22.992702,18.98658
-10.3,27,-14.937656,9.134099,-32.84016,2.9648495,-2.4559641,8.6082516,-19.327827,14.415899,-1.9977062,10.680563,-22.931227,18.935814
-10.2,27,-14.897609,9.1096106,-32.752117,2.9569006,-2.4493797,8.5851736,-19.276011,14.377251,-1.9923503,10.651929,-22.869747,18.885048
-10.1,27,-14.857561,9.0851231,-32.664074,2.9489522,-2.4427955,8.5620947,-19.224194,14.338602,-1.9869946,10.623295,-22.80827,18.834282
-10,27,-14.817513,9.0606346,-32.576031,2.9410033,-2.4362111,8.5390167,-19.172375,14.299953,-1.9816388,10.594661,-22.746792,18.783514
-9.9,27,-14.777467,9.0361462,-32.487988,2.9330547,-2.4296267,8.5159378,-19.120558,14.261305,-1.9762831,10.566027,-22.685314,18.732748
-9.8,27,-14.737419,9.0116577,-32.399944,2.925106,-2.4230423,8.4928598,-19.068741,14.222656,-1.9709272,10.537393,-22.623837,18.681982
-9.7,27,-14.697371,8.9871702,-32.311901,2.9171574,-2.4164579,8.4697809,-19.016924,14.184008,-1.9655715,10.508758,-22.562359,18.631216
-9.6,27,-14.657325,8.9626818,-32.223858,2.9092088,-2.4098737,8.446703,-18.965107,14.14536,-1.9602157,10.480124,-22.500881,18.58045
-9.5,27,-14.617277,8.9381933,-32.135815,2.9012601,-2.4032893,8.423624,-18.91329,14.10671,-1.95486,10.451489,-22.439404,18.529684
-9.4,27,-14.577229,8.9137049,-32.047771,2.8933115,-2.3967049,8.4005461,-18.861471,14.068062,-1.9495041,10.422855,-22.377926,18.478916
-9.3,27,-14.537183,8.8892174,-31.959728,2.8853629,-2.3901205,8.3774672,-18.809654,14.029414,-1.9441484,10.394221,-22.316448,18.42815
-9.2,27,-14.497135,8.8647289,-31.871685,2.8774142,-2.3835361,8.3543892,-18.757837,13.990766,-1.9387926,10.365587,-22.254969,18.377384
-9.1,27,-14.457088,8.8402405,-31.783642,2.8694656,-2.3769519,8.3313103,-18.70602,13.952117,-1.9334369,10.336953,-22.193493,18.326618
-9,27,-14.417041,8.815752,-31.695599,2.8615167,-2.3703675,8.3082323,-18.654203,13.913468,-1.928081,10.308318,-22.132013,18.275852
-8.9,27,-14.376993,8.7912645,-31.607553,2.8535681,-2.3637831,8.2851534,-18.602386,13.87482,-1.9227252,10.279684,-22.070536,18.225086
-8.8,27,-14.336946,8.7667761,-31.519512,2.8456194,-2.3571987,8.2620754,-18.55057,13.836171,-1.9173695,10.25105,-22.009058,18.17432
-8.7,27,-14.296899,8.7422876,-31.431467,2.8376708,-2.3506145,8.2389965,-18.498751,13.797523,-1.9120136,10.222416,-21.94758,18.123552
-8.6,27,-14.256851,8.7178001,-31.343426,2.8297222,-2.3440301,8.2159185,-18.446934,13.758874,-1.9066579,10.193782,-21.886103,18.072786
-8.5,27,-14.216804,8.6933117,-31.255381,2.8217735,-2.3374457,8.1928396,-18.395117,13.720225,-1.9013021,10.165148,-21.824625,18.02202
-8.4,27,-14.176757,8.6688232,-31.167337,2.8138249,-2.3308613,8.1697617,-18.3433,13.681577,-1.8959464,10.136513,-21.763147,17.971254
-8.3,27,-14.136709,8.6443348,-31.079294,2.8058763,-2.3242772,8.1466837,-18.291483,13.642929,-1.8905905,10.107879,-21.70167,17.920488
-8.2,27,-14.096662,8.6198473,-30.991251,2.7979276,-2.3176928,8.1236048,-18.239666,13.60428,-1.8852348,10.079245,-21.640192,17.869722
-8.1,27,-14.056615,8.5953588,-30.903208,2.789979,-2.3111084,8.1005268,-18.187849,13.565632,-1.879879,10.050611,-21.578714,17.818956
-8,27,-14.016567,8.5708704,-30.815165,2.7820303,-2.3045239,8.0774479,-18.13603,13.526983,-1.8745233,10.021976,-21.517237,17.76819
-7.9,27,-13.97652,8.546382,-30.727121,2.7740817,-2.2979395,8.0543699,-18.084213,13.488335,-1.8691674,9.9933424,-21.455759,17.717422
-7.8,27,-13.936473,8.5218945,-30.639078,2.7661328,-2.2913554,8.031291,-18.032396,13.449686,-1.8638117,9.9647083,-21.394279,17.666656
-7.7,27,-13.896425,8.497406,-30.551035,2.7581842,-2.284771,8.008213,-17.980579,13.411037,-1.8584559,9.9360733,-21.332802,17.615891
-7.6,27,-13.856378,8.4729176,-30.462992,2.7502356,-2.2781866,7.9851341,-17.928762,13.372389,-1.8531001,9.9074392,-21.271324,17.565125
-7.5,27,-13.816331,8.4484291,-30.374949,2.7422869,-2.2716022,7.9620557,-17.876945,13.33374,-1.8477443,9.8788052,-21.209846,17.514359
-7.4,27,-13.776283,8.4239416,-30.286905,2.7343383,-2.2650177,7.9389772,-17.825129,13.295092,-1.8423885,9.8501711,-21.148369,17.463593
-7.3,27,-13.736236,8.3994532,-30.198862,2.7263896,-2.2584336,7.9158988,-17.77331,13.256443,-1.8370328,9.821537,-21.086891,17.412827
-7.2,27,-13.696189,8.3749647,-30.110819,2.718441,-2.2518492,7.8928204,-17.721493,13.217794,-1.831677,9.7929029,-21.025414,17.362059
-7.1,27,-13.656141,8.3504763,-30.022774,2.7104924,-2.2452648,7.8697419,-17.669676,13.179147,-1.8263212,9.7642679,-20.963936,17.311293
-7,27,-13.616094,8.3259888,-29.934731,2.7025437,-2.2386804,7.8466635,-17.617859,13.140498,-1.8209654,9.7356339,-20.902458,17.260527
-6.9,27,-13.576047,8.3015003,-29.846687,2.6945951,-2.2320962,7.8235855,-17.566042,13.10185,-1.8156097,9.7069998,-20.840981,17.209761
-6.8,27,-13.535999,8.2770119,-29.758644,2.6866465,-2.2255118,7.8005071,-17.514225,13.063201,-1.8102539,9.6783657,-20.779503,17.158995
-6.7,27,-13.495952,8.2525234,-29.670601,2.6786976,-2.2189274,7.7774286,-17.462406,13.024552,-1.804898,9.6497316,-20.718023,17.108229
-6.6,27,-13.455905,8.2280359,-29.582558,2.6707489,-2.212343,7.7543502,-17.410589,12.985904,-1.7995423,9.6210976,-20.656546,17.057463
-6.5,27,-13.415857,8.2035475,-29.494514,2.6628003,-2.2057586,7.7312717,-17.358772,12.947255,-1.7941865,9.5924635,-20.595068,17.006695
-6.4,27,-13.37581,8.179059,-29.406471,2.6548517,-2.1991744,7.7081933,-17.306955,12.908607,-1.7888308,9.5638285,-20.53359,16.955929
-6.3,27,-13.335763,8.1545715,-29.318428,2.646903,-2.19259,7.6851149,-17.255138,12.869958,-1.7834749,9.5351944,-20.472113,16.905163
-6.2,27,-13.295715,8.1300831,-29.230385,2.6389544,-2.1860056,7.6620364,-17.203321,12.831309,-1.7781192,9.5065603,-20.410635,16.854397
-6.1,27,-13.255668,8.1055946,-29.142342,2.6310058,-2.1794212,7.638958,-17.151503,12.792661,-1.7727634,9.4779263,-20.349157,16.803631
-6,27,-13.215621,8.0811062,-29.054298,2.6230571,-2.1728368,7.6158795,-17.099686,12.754013,-1.7674077,9.4492922,-20.28768,16.752865
-5.9,27,-13.175573,8.0566187,-28.966255,2.6151085,-2.1662526,7.5928011,-17.047869,12.715364,-1.7620518,9.4206581,-20.226202,16.702099
-5.8,27,-13.135526,8.0321302,-28.878212,2.6071599,-2.1596682,7.5697227,-16.996052,12.676716,-1.7566961,9.392024,-20.164724,16.651333
-5.7,27,-13.095478,8.0076418,-28.790169,2.5992112,-2.1530838,7.5466442,-16.944235,12.638067,-1.7513403,9.363389,-20.103247,16.600565
-5.6,27,-13.055431,7.9831538,-28.702126,2.5912623,-2.1464994,7.5235658,-16.892418,12.599419,-1.7459844,9.3347549,-20.041769,16.549799
-5.5,27,-13.015384,7.9586654,-28.614082,2.5833137,-2.1399152,7.5004873,-16.840601,12.56077,-1.7406287,9.3061209,-19.980291,16.499033
