temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_manuf,se_manuf,lowerci_manuf,upperci_manuf,yhat_hr3,se_hr3,lowerci_hr3,upperci_hr3
-.9,27,-10.4797678460268,6.580983450164731,-23.37825839120381,2.418722699150218,-1.4691727247533,7.990034379452924,-17.12935234371787,14.19100689421127,1.051244337092593,5.898815147306049,-10.51022090308659,12.61270957727178,-92.49694099703386,46.30607550126278,-183.2551812449014,-1.738700749166313
-.8,27,-10.44220596750663,6.557395704287282,-23.29446538028737,2.410053445274098,-1.463906874571968,7.961396273621938,-17.06795683752236,14.14014308837842,1.047476437587086,5.877672448210948,-10.47254987382973,12.56750274900391,-92.16541086084536,46.140103963844,-182.5983528729134,-1.732468848777344
-.7,27,-10.40464406659784,6.533807944328506,-23.2106723193834,2.401384186187714,-1.458641021251944,7.932758150703896,-17.00656129469814,14.08927925219425,1.043708535835734,5.856529736547547,-10.43487882218531,12.52229589385678,-91.83388052704943,45.97413232763719,-181.9415241096969,-1.726236944401947
-.6,27,-10.36708218807768,6.510220198505854,-23.12687930857435,2.392714932418995,-1.453375171070612,7.904120044878822,-16.94516578851422,14.03841544637299,1.039940636330226,5.835387037452457,-10.39720779292847,12.47708906558892,-91.50235039086093,45.808160789913,-181.2846957371103,-1.720005044611582
-.5,27,-10.32952028716888,6.48663243849864,-23.04308624757545,2.384045673237674,-1.448109317750587,7.87548192196078,-16.88377024569,13.98755161018882,1.036172734578874,5.814244325789078,-10.35953674128408,12.43188221044183,-91.17082005706499,45.64218915331698,-180.6278669731309,-1.71377314099901
-.4,27,-10.29195839745441,6.46304468558053,-22.95929321166524,2.375376416756428,-1.442843465999909,7.84684380760145,-16.82237472120989,13.93668778921007,1.032404833950445,5.793101620409808,-10.3218657008334,12.38667536873429,-90.83928982207277,45.47621756666044,-179.9710384058349,-1.707541238310597
-.3,27,-10.25439650773993,6.439456932717209,-22.87550017586242,2.366707160382564,-1.43757761424923,7.818205693217665,-16.76097919668186,13.8858239681834,1.028636933322015,5.771958915030555,-10.28419466038276,12.34146852702679,-90.50775958708054,45.31024597934572,-179.3142098372489,-1.701309336912175
-.2,27,-10.21683461242829,6.415869176251368,-22.79170712740164,2.358037902545052,-1.432311761713879,7.78956757456143,-16.6995836629953,13.83496013956754,1.024869032132124,5.750816206478254,-10.24652361427451,12.29626167853876,-90.17622930268647,45.14427436771943,-178.6573811716112,-1.695077433761682
-.1,27,-10.17927271991523,6.392281421565864,-22.70791408522882,2.349368645398354,-1.427045909570864,7.760929458063901,-16.63818813393207,13.78409631479034,1.021101131222964,5.729673499546372,-10.2088525710615,12.25105483350742,-89.84469904299331,44.97830276805433,-178.000552554118,-1.688845531868623
0,27,-10.14171082740218,6.368693666928566,-22.6241210431505,2.34069938834614,-1.421780057427849,7.732291341566366,-16.57679260486882,13.73323249001312,1.017333230313804,5.708530792577676,-10.17118152777633,12.20584798840394,-89.51316878330017,44.81233116877843,-177.3437239373876,-1.682613629212767
.1,27,-10.10414893488912,6.345105912181908,-22.54032800085782,2.332030131079584,-1.416514205284834,7.703653225066865,-16.51539707580172,13.68236866523205,1.013565329404644,5.687388085614818,-10.1335104845026,12.16064114331189,-89.18163852360702,44.64635956963647,-176.6868953209197,-1.67638172629438
.2,27,-10.06658704237606,6.321518157544604,-22.45653495877949,2.323360874027356,-1.411248353141819,7.675015108567367,-16.45400154673463,13.63150484045099,1.009797428495484,5.666245378677121,-10.09583944127819,12.11543429826916,-88.85010826391387,44.48038796983744,-176.0300667031639,-1.670149824663824
.3,27,-10.02902514706443,6.297930401139926,-22.37274191043857,2.31469161630972,-1.405982500606468,7.646376989909155,-16.39260601304419,13.58064101183126,1.006029527305593,5.645102670155792,-10.05816839523065,12.07022744984183,-88.51857797951979,44.31441635821114,-175.3732380375262,-1.663917921513345
.4,27,-9.991463257349949,6.274342648221811,-22.28894887452836,2.306022359828464,-1.40071664885579,7.617738875523404,-16.33121048851231,13.52977719080073,1.002261626677163,5.623959964776547,-10.02049735478002,12.02502060813434,-88.18704774452758,44.14844477089536,-174.7164094689381,-1.657686020117012
.5,27,-9.953901367635471,6.250754895303701,-22.20515583861816,2.297353103347216,-1.395450797105111,7.589100761166039,-16.26981496403605,13.47891336982583,.9984937260487335,5.602817259381789,-9.982826314298981,11.97981376639645,-87.85551750953535,43.98247318423879,-174.0595809016421,-1.651454117428628
.6,27,-9.916339466726676,6.227167135357762,-22.12136277773935,2.288683844285995,-1.390184943785087,7.560462638255888,-16.2084194212273,13.42804953365713,.9947258242973819,5.58167454769923,-9.945155262617003,11.93460691121177,-87.52398717573941,43.81650154764387,-173.4027521376649,-1.645222213813909
.7,27,-9.878777588206514,6.203579389467474,-22.03756976679774,2.28001459038471,-1.384919093603755,7.531824532422924,-16.14702391502792,13.37718572782041,.9909579247918742,5.560531848623302,-9.907484233397721,11.88940008298147,-87.1924570395509,43.65053000995508,-172.7459237651477,-1.638990313954153
.8,27,-9.841215687297719,6.179991629521538,-21.95377670591893,2.271345331323493,-1.37965324028373,7.503186409512769,-16.08562837221915,13.32632189165169,.9871900230405225,5.539389136944393,-9.869813181722899,11.84419322780394,-86.86092670575498,43.48455837349515,-172.0890950014351,-1.632758410074871
.9,27,-9.803653808777558,6.156403883631244,-21.86998369497731,2.262676077422196,-1.374387390102398,7.474548303679807,-16.02423286601977,13.27545808581498,.9834221235350148,5.518246437864821,-9.832142152496479,11.79898639956651,-86.52939656956647,43.31858683629409,-171.4322666298738,-1.626526509259193
1,27,-9.766091907868763,6.132816123685303,-21.7861906340985,2.25400681836097,-1.369121536782373,7.445910180769661,-15.96283732321103,13.22459424964628,.9796542217836631,5.497103726185912,-9.794471100821653,11.75377954438898,-86.19786623577053,43.1526151995228,-170.7754378655509,-1.620294605990154
1.1,27,-9.72853000695997,6.10922836373289,-21.70239757320699,2.245337559287057,-1.363855683462349,7.417272057855561,-15.90144178039454,13.17373041346984,.9758863200323115,5.475961014507033,-9.756800049146888,11.70857268921151,-85.86633590197459,42.98664356292787,-170.1186091015737,-1.614062702375449
1.2,27,-9.690968106051175,6.085640603835166,-21.61860451242269,2.236668300320334,-1.358589830142324,7.388633934967885,-15.84004623762984,13.12286657734519,.9721184182809598,5.454818302820782,-9.719128997457673,11.66336583401959,-85.53480556817865,42.82067192650929,-169.4617803379422,-1.607830798415094
1.3,27,-9.653406249919644,6.062052871965157,-21.53481155134895,2.227999051509661,-1.353323983099684,7.359995846187673,-15.77865076799192,13.07200280179255,.968350521021296,5.4336756163515,-9.681457990701121,11.61815903274371,-85.20327562959758,42.65470048769232,-168.8049523568176,-1.601598902377589
1.4,27,-9.615844349010851,6.038465112006371,-21.45101849044496,2.219329792423256,-1.34805812977966,7.331357723279482,-15.71725522518701,13.02113896562769,.9645826192699444,5.412532904672596,-9.643786939026308,11.5729521775662,-84.87174529580165,42.48872885123131,-168.1481235931029,-1.595366998500381
1.5,27,-9.578282448102057,6.014877352060437,-21.36722542956616,2.210660533362045,-1.342792276459635,7.30271960036933,-15.65585968237825,12.97027512945898,.9608147175185927,5.391390192990027,-9.606115887344309,11.5277453223815,-84.54021496200572,42.32275721515951,-167.491294830151,-1.589135093860378
1.6,27,-9.540720547193262,5.99128959210802,-21.28343236867465,2.201991274288124,-1.337526423139611,7.274081477475745,-15.59446413960197,12.91941129332275,.957046815767241,5.370247481307463,-9.568444835662323,11.4825384671968,-84.20868462820978,42.15678557838931,-166.8344660658304,-1.582903190589192
1.7,27,-9.503158646284469,5.96770183221029,-21.19963930789033,2.193322015321389,-1.332260569819586,7.245443354567559,-15.53306859679707,12.8685474571579,.9532789140158894,5.349104769634138,-9.530773783998441,11.43733161203022,-83.87715429441384,41.99081394192828,-166.1776373021156,-1.576671286712056
1.8,27,-9.465596790152938,5.94411410034028,-21.11584634681659,2.184652766510712,-1.326994722776947,7.216805265793253,-15.47167312717073,12.81768368161684,.9495110167562255,5.327962083155592,-9.493102777223733,11.39212481073618,-83.54562435583277,41.82484250349948,-165.5208093217518,-1.570439389913744
1.9,27,-9.428034889244143,5.920526340387868,-21.03205328592509,2.175983507436804,-1.321728869456922,7.188167142879156,-15.41027758435425,12.7668198454404,.9457431150048738,5.306819371476709,-9.45543172554896,11.34691795555871,-83.21409402203683,41.65887086690453,-164.8639805577746,-1.564207486299068
2,27,-9.390472988335349,5.896938580435568,-20.94826022503381,2.167314248363114,-1.316463016136897,7.159529019969007,-15.3488820415455,12.7159560092717,.9419752132535222,5.285676659794149,-9.417760673866978,11.30171110037402,-82.88256368824089,41.49289923009674,-164.2071517933802,-1.557975583101566
2.1,27,-9.35291113220382,5.873350848620358,-20.86446726406748,2.158644999659842,-1.311197169094258,7.130890931192737,-15.28748657191531,12.66509223372679,.9382073159938584,5.264533973305665,-9.380089667072792,11.25650429906051,-82.55103374965982,41.32692779180293,-163.550323813281,-1.551743686038677
2.2,27,-9.315349186517761,5.849763060585421,-20.78067410335798,2.14997573032246,-1.305931309496848,7.10225277414081,-15.22609095591252,12.61422833691882,.934439409750819,5.243391236432667,-9.34241857051015,11.21129739001179,-82.21950302064903,41.16095595743002,-162.8934942664512,-1.54551177484683
2.3,27,-9.27778733038623,5.826175328770216,-20.69688114239166,2.1413064816192,-1.300665462454208,7.073614685392932,-15.16469548633798,12.56336456142956,.9306715124911551,5.222248549954165,-9.304747563735528,11.16609058871784,-81.88797308206794,40.99498451874697,-162.2366662855891,-1.539279878546807
2.4,27,-9.240225384700173,5.802587540687063,-20.61308798158766,2.132637212187314,-1.295399602856799,7.044976528342981,-15.10329987033906,12.51250066462546,.9269036062481156,5.201105813067589,-9.267076467146271,11.1208836796425,-81.55644235305715,40.82901268472194,-161.5798367394411,-1.533047966673152
2.5,27,-9.202663528568642,5.778999808817058,-20.52929502051393,2.123967963376646,-1.290133755814159,7.016338439568677,-15.04190440071272,12.46163688908441,.9231357089884518,5.179963126598254,-9.229405460389616,11.07567687836652,-81.22491241447608,40.66304124576995,-160.9230087580519,-1.526816070900253
2.6,27,-9.165101672437112,5.755412077050174,-20.44550205964232,2.115298714768093,-1.28486790877152,6.98770035079241,-14.98050893108254,12.4107731135395,.919367811728788,5.158820440119714,-9.19173445361492,11.0304700770725,-80.89338247589501,40.49706980695191,-160.2661807769252,-1.520584174864837
2.7,27,-9.127539726751055,5.731824288960543,-20.36170889882562,2.106629445323511,-1.27960204917411,6.959062193740486,-14.91911331507976,12.35990921673154,.9155999054857484,5.137677703236811,-9.154063357032863,10.98526316800436,-80.5618517468842,40.33109797289038,-159.6093512307057,-1.51435226306269
