temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-11.1,27,-15.258035,9.3300047,-33.54451,3.0284386,-11.1,0,-2.5086389,8.7928791,-19.742365,14.725087,-122.91853,60.888214,-242.25725,-3.5798292,-120.4099,61.513817,-240.97476,.15497044
-11,27,-15.217987,9.3055162,-33.456463,3.0204899,-11,0,-2.5020547,8.7698002,-19.690548,14.686439,-122.59592,60.728401,-241.6214,-3.5704331,-120.09386,61.352364,-240.34229,.15456368
-10.9,27,-15.177939,9.2810278,-33.36842,3.0125413,-10.9,0,-2.4954703,8.7467222,-19.638731,14.64779,-122.27329,60.568588,-240.98555,-3.5610373,-119.77782,61.19091,-239.70981,.15415694
-10.8,27,-15.137893,9.2565403,-33.280376,3.0045927,-10.8,0,-2.4888859,8.7236443,-19.586914,14.609141,-121.95068,60.408779,-240.3497,-3.5516415,-119.46178,61.029457,-239.07733,.1537502
-10.7,27,-15.097845,9.2320518,-33.192333,2.996644,-10.7,0,-2.4823015,8.7005653,-19.535095,14.570493,-121.62805,60.248966,-239.71385,-3.5422456,-119.14575,60.868004,-238.44484,.15334344
-10.6,27,-15.057798,9.2075634,-33.10429,2.9886954,-10.6,0,-2.4757173,8.6774874,-19.483278,14.531845,-121.30544,60.089157,-239.07802,-3.5328498,-118.82971,60.706551,-237.81236,.1529367
-10.5,27,-15.017751,9.1830759,-33.016247,2.9807467,-10.5,0,-2.4691329,8.6544085,-19.431461,14.493196,-120.98281,59.929344,-238.44217,-3.5234537,-118.51368,60.545097,-237.17989,.15252995
-10.4,27,-14.977703,9.1585875,-32.928204,2.9727981,-10.4,0,-2.4625485,8.6313295,-19.379644,14.454548,-120.66019,59.769531,-237.80632,-3.5140579,-118.19764,60.38364,-236.54741,.1521232
-10.3,27,-14.937656,9.134099,-32.84016,2.9648495,-10.3,0,-2.4559641,8.6082516,-19.327827,14.415899,-120.33757,59.609722,-237.17047,-3.504662,-117.88161,60.222191,-235.91493,.15171646
-10.2,27,-14.897609,9.1096106,-32.752117,2.9569006,-10.2,0,-2.4493797,8.5851736,-19.276011,14.377251,-120.01495,59.449909,-236.53462,-3.4952662,-117.56557,60.060734,-235.28244,.15130971
-10.1,27,-14.857561,9.0851231,-32.664074,2.9489522,-10.1,0,-2.4427955,8.5620947,-19.224194,14.338602,-119.69233,59.2901,-235.89879,-3.4858704,-117.24953,59.899281,-234.64996,.15090297
-10,27,-14.817513,9.0606346,-32.576031,2.9410033,-10,0,-2.4362111,8.5390167,-19.172375,14.299953,-119.36971,59.130287,-235.26294,-3.4764745,-116.93349,59.737827,-234.01749,.15049621
-9.9,27,-14.777467,9.0361462,-32.487988,2.9330547,-9.8999996,0,-2.4296267,8.5159378,-19.120558,14.261305,-119.04708,58.970474,-234.62709,-3.4670784,-116.61745,59.576374,-233.38501,.15008947
-9.800000000000001,27,-14.737419,9.0116577,-32.399944,2.925106,-9.8000002,0,-2.4230423,8.4928598,-19.068741,14.222656,-118.72446,58.810665,-233.99124,-3.4576826,-116.30142,59.414921,-232.75253,.14968273
-9.699999999999999,27,-14.697371,8.9871702,-32.311901,2.9171574,-9.6999998,0,-2.4164579,8.4697809,-19.016924,14.184008,-118.40184,58.650852,-233.35539,-3.4482868,-115.98538,59.253468,-232.12004,.14927597
-9.6,27,-14.657325,8.9626818,-32.223858,2.9092088,-9.6000004,0,-2.4098737,8.446703,-18.965107,14.14536,-118.07922,58.491039,-232.71956,-3.4388909,-115.66935,59.092014,-231.48756,.14886923
-9.5,27,-14.617277,8.9381933,-32.135815,2.9012601,-9.5,0,-2.4032893,8.423624,-18.91329,14.10671,-117.7566,58.33123,-232.08371,-3.4294951,-115.35331,58.930561,-230.85509,.14846249
-9.4,27,-14.577229,8.9137049,-32.047771,2.8933115,-9.3999996,0,-2.3967049,8.4005461,-18.861471,14.068062,-117.43398,58.171417,-231.44786,-3.420099,-115.03728,58.769104,-230.22261,.14805573
-9.300000000000001,27,-14.537183,8.8892174,-31.959728,2.8853629,-9.3000002,0,-2.3901205,8.3774672,-18.809654,14.029414,-117.11136,58.011604,-230.81201,-3.4107034,-114.72124,58.607655,-229.59013,.14764899
-9.199999999999999,27,-14.497135,8.8647289,-31.871685,2.8774142,-9.1999998,0,-2.3835361,8.3543892,-18.757837,13.990766,-116.78874,57.851795,-230.17618,-3.4013073,-114.4052,58.446198,-228.95764,.14724225
-9.1,27,-14.457088,8.8402405,-31.783642,2.8694656,-9.1000004,0,-2.3769519,8.3313103,-18.70602,13.952117,-116.46612,57.691982,-229.54033,-3.3919115,-114.08916,58.284748,-228.32516,.14683551
-9,27,-14.417041,8.815752,-31.695599,2.8615167,-9,0,-2.3703675,8.3082323,-18.654203,13.913468,-116.1435,57.532169,-228.90448,-3.3825157,-113.77313,58.123291,-227.69269,.14642875
-8.9,27,-14.376993,8.7912645,-31.607553,2.8535681,-8.8999996,0,-2.3637831,8.2851534,-18.602386,13.87482,-115.82088,57.37236,-228.26863,-3.3731198,-113.45709,57.961838,-227.06021,.14602201
