year,iso,adm1_id,getal_admin_name,gdppc_adm0_PWT,gdppc_adm1_PWT_downscaled,adm0_pop
1991,CHN,20300000,Guizhou,2151.9565,995.8332592655629,1150780000
1992,CHN,20300000,Guizhou,2324.4766,1019.5114611909804,1164970000
1993,CHN,20300000,Guizhou,2543.9551,1063.1882321675673,1178440000
1994,CHN,20300000,Guizhou,2727.0481,1091.3711104383474,1191835000
1995,CHN,20300000,Guizhou,3065.0068,1179.5498547423954,1204855000
1996,CHN,20300000,Guizhou,3152.4414,1196.4162861920597,1217550000
1997,CHN,20300000,Guizhou,3350.0996,1255.4617670492728,1230075000
1998,CHN,20300000,Guizhou,3342.2668,1238.1651612903227,1241935000
1999,CHN,20300000,Guizhou,3519.6196,1289.4674068250733,1252735000
2000,CHN,20300000,Guizhou,3721.8508,1349.5632603269166,1262645000
2001,CHN,20300000,Guizhou,3957.9678,1419.2019120836378,1271850000
2002,CHN,20300000,Guizhou,4360.1079,1549.156265444338,1280400000
2003,CHN,20300000,Guizhou,4727.0625,1666.6288436019538,1288400000
2004,CHN,20300000,Guizhou,5199.8809,1820.485868753652,1296075000
2005,CHN,20300000,Guizhou,5637.0957,1962.088058899058,1303720000
2006,CHN,20300000,Guizhou,6272.9785,2283.7834661400607,1311020000
2007,CHN,20300000,Guizhou,6990.625,2634.905940205558,1317885000
2008,CHN,20300000,Guizhou,7309.3281,2832.109753881135,1324655000
2009,CHN,20300000,Guizhou,7862.9229,3115.54088032439,1331260000
2010,CHN,20300000,Guizhou,8483.165,3424.8978955328735,1337705000
2011,CHN,20300000,Guizhou,9098.6035,3673.3149308719617,1344130000
2002,ESP,30040000,ES4,27267.639,22309.363636346407,41431558
2003,ESP,30040000,ES4,27699.754,22757.39436625806,42187645
2002,ESP,30030000,ES4,27267.639,22309.363636346407,41431558
2003,ESP,30030000,ES4,27699.754,22757.39436625806,42187645
2002,ESP,30060000,ES6,27267.639,20874.258373193145,41431558
2003,ESP,30060000,ES6,27699.754,21456.97183098115,42187645
2002,ESP,30010000,ES2,27267.639,31963.708134075605,41431558
2003,ESP,30010000,ES2,27699.754,32380.521126713284,42187645
2002,ESP,30100000,ES4,27267.639,22309.363636346407,41431558
2003,ESP,30100000,ES4,27699.754,22757.39436625806,42187645
2002,ESP,30130000,ES7,27267.639,26353.751196408135,41431558
2003,ESP,30130000,ES7,27699.754,26398.577464917085,42187645
2002,ESP,30020000,ES1,27267.639,22439.82775128082,41431558
2003,ESP,30020000,ES1,27699.754,22887.43661977714,42187645
2002,ESP,30050000,ES5,27267.639,30398.13875593728,41431558
2003,ESP,30050000,ES5,27699.754,30429.887323946055,42187645
2002,ESP,30000000,ES6,27267.639,20874.258373193145,41431558
2003,ESP,30000000,ES6,27699.754,21456.97183098115,42187645
2002,ESP,30120000,ES5,27267.639,30398.13875593728,41431558
2003,ESP,30120000,ES5,27699.754,30429.887323946055,42187645
2002,ESP,30070000,ES2,27267.639,31963.708134075605,41431558
2003,ESP,30070000,ES2,27699.754,32380.521126713284,42187645
2002,ESP,30140000,ES2,27267.639,31963.708134075605,41431558
2003,ESP,30140000,ES2,27699.754,32380.521126713284,42187645
2002,ESP,30150000,ES2,27267.639,31963.708134075605,41431558
2003,ESP,30150000,ES2,27699.754,32380.521126713284,42187645
2002,ESP,30170000,ES6,27267.639,20874.258373193145,41431558
2003,ESP,30170000,ES6,27699.754,21456.97183098115,42187645
2002,ESP,30110000,ES1,27267.639,22439.82775128082,41431558
2003,ESP,30110000,ES1,27699.754,22887.43661977714,42187645
2002,ESP,30090000,ES3,27267.639,36269.02392339956,41431558
2003,ESP,30090000,ES3,27699.754,36411.83098596794,42187645
2002,ESP,30160000,ES1,27267.639,22439.82775128082,41431558
2003,ESP,30160000,ES1,27699.754,22887.43661977714,42187645
2002,ESP,30080000,ES5,27267.639,30398.13875593728,41431558
2003,ESP,30080000,ES5,27699.754,30429.887323946055,42187645
1998,FRA,40100000,FR2,28443.844,25228.019058945833,60186288
1999,FRA,40100000,FR2,29283.77,25973.533179420334,60496718
1998,FRA,40130000,FR4,28443.844,25475.352579069684,60186288
1999,FRA,40130000,FR4,29283.77,26228.175661474892,60496718
1998,FRA,40030000,FR2,28443.844,25228.019058945833,60186288
1999,FRA,40030000,FR2,29283.77,25973.533179420334,60496718
1998,FRA,40090000,FR4,28443.844,25475.352579069684,60186288
1999,FRA,40090000,FR4,29283.77,26228.175661474892,60496718
1998,FRA,40200000,FR7,28443.844,28072.35454097637,60186288
1999,FRA,40200000,FR7,29283.77,28901.921724074222,60496718
1998,FRA,40000000,FR4,28443.844,25475.352579069684,60186288
1999,FRA,40000000,FR4,29283.77,26228.175661474892,60496718
