variable,batch,rcp,gcm,model,year,ssp,global_damages_constant_model_collapsed,anomaly
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.422981427155136,0.4800713658332824
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.25630832022323,0.4800713658332824
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.400341200250395,0.4800713658332824
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.29173861414838,0.4800713658332824
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.406550405642456,0.4800713658332824
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.29382153822345,0.4800713658332824
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.568888805782194,0.4800713658332824
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.44514717928122,0.4800713658332824
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.57273405096523,0.4800713658332824
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.40000162103539,0.4800713658332824
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-57.905035320461934,0.4800713658332824
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-56.76754385709615,0.4800713658332824
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.56721146242744,0.4800713658332824
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.40272379881855,0.4800713658332824
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.224955056212515,0.4800713658332824
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.06270801541374,0.4800713658332824
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.15901238106344,0.4800713658332824
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-56.97590942466682,0.4800713658332824
damages,batch4,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.92600189293225,0.4800713658332824
damages,batch4,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.787854971863695,0.4800713658332824
damages,batch5,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.74698145507458,0.4800713658332824
damages,batch5,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.60461511182285,0.4800713658332824
damages,batch6,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-57.9783778367475,0.4800713658332824
damages,batch6,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-56.83075428622682,0.4800713658332824
damages,batch7,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.25158838568456,0.4800713658332824
damages,batch7,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.10922114769893,0.4800713658332824
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.27714441181179,0.4800713658332824
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.09559720677435,0.4800713658332824
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2023,SSP3,-58.61186272304633,0.4800713658332824
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2023,SSP3,-57.41702457954612,0.4800713658332824
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.05422995928281,0.5079278349876404
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.3386626149927,0.5079278349876404
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.99728264047123,0.5079278349876404
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-76.28867317637847,0.5079278349876404
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.76718970657505,0.5079278349876404
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-76.12898291135267,0.5079278349876404
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-76.17377995376728,0.5079278349876404
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-76.51675024231756,0.5079278349876404
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.03802798936992,0.5079278349876404
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.29049918458244,0.5079278349876404
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-74.863150568413,0.5079278349876404
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.09134434722782,0.5079278349876404
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.526077982678,0.5079278349876404
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.8337345508651,0.5079278349876404
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.7853544304769,0.5079278349876404
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-76.10553703034522,0.5079278349876404
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.5720624706113,0.5079278349876404
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.9081498526516,0.5079278349876404
damages,batch4,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.24241316519002,0.5079278349876404
damages,batch4,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.59811073018061,0.5079278349876404
