temp,tercile,ref,lrt_eval,yhat,se,lower_ci,upper_ci
-18.3,3,27,31.24262809753418,-191.51767,56.41473,-302.0885,-80.946831
-18.2,3,27,31.24262809753418,-191.09489,56.290195,-301.42166,-80.768143
-18.1,3,27,31.24262809753418,-190.67212,56.165657,-300.75479,-80.589447
-18,3,27,31.24262809753418,-190.24934,56.041122,-300.08792,-80.410759
-17.9,3,27,31.24262809753418,-189.82657,55.916588,-299.42105,-80.232071
-17.8,3,27,31.24262809753418,-189.40378,55.792049,-298.75418,-80.053375
-17.7,3,27,31.24262809753418,-188.98102,55.667515,-298.08734,-79.874687
-17.6,3,27,31.24262809753418,-188.55824,55.54298,-297.42047,-79.695999
-17.5,3,27,31.24262809753418,-188.13545,55.418442,-296.7536,-79.517303
-17.4,3,27,31.24262809753418,-187.71268,55.293907,-296.08676,-79.338615
-17.3,3,27,31.24262809753418,-187.2899,55.169373,-295.41989,-79.15992
-17.2,3,27,31.24262809753418,-186.86713,55.044838,-294.75302,-78.981232
-17.1,3,27,31.24262809753418,-186.44435,54.9203,-294.08615,-78.802544
-17,3,27,31.24262809753418,-186.02158,54.795765,-293.41931,-78.623856
-16.9,3,27,31.24262809753418,-185.5988,54.671227,-292.75244,-78.44516
-16.8,3,27,31.24262809753418,-185.17603,54.546692,-292.08557,-78.266472
-16.7,3,27,31.24262809753418,-184.75325,54.422157,-291.41873,-78.087784
-16.6,3,27,31.24262809753418,-184.33047,54.297623,-290.75186,-77.909088
-16.5,3,27,31.24262809753418,-183.9077,54.173084,-290.08499,-77.7304
-16.4,3,27,31.24262809753418,-183.48492,54.04855,-289.41812,-77.551712
-16.3,3,27,31.24262809753418,-183.06213,53.924011,-288.75125,-77.373016
-16.2,3,27,31.24262809753418,-182.63937,53.799477,-288.08441,-77.194328
-16.1,3,27,31.24262809753418,-182.2166,53.674942,-287.41754,-77.01564
-16,3,27,31.24262809753418,-181.79381,53.550407,-286.75067,-76.836945
-15.9,3,27,31.24262809753418,-181.37103,53.425869,-286.0838,-76.658257
-15.8,3,27,31.24262809753418,-180.94826,53.301334,-285.41696,-76.479568
-15.7,3,27,31.24262809753418,-180.52548,53.1768,-284.75009,-76.300873
-15.6,3,27,31.24262809753418,-180.10271,53.052261,-284.08322,-76.122185
-15.5,3,27,31.24262809753418,-179.67993,52.927727,-283.41638,-75.943497
-15.4,3,27,31.24262809753418,-179.25716,52.803192,-282.74951,-75.764801
-15.3,3,27,31.24262809753418,-178.83438,52.678654,-282.08264,-75.586113
-15.2,3,27,31.24262809753418,-178.41161,52.554119,-281.41577,-75.407425
-15.1,3,27,31.24262809753418,-177.98883,52.429585,-280.74893,-75.228729
-15,3,27,31.24262809753418,-177.56606,52.305046,-280.08206,-75.050041
-14.9,3,27,31.24262809753418,-177.14328,52.180511,-279.41519,-74.871353
-14.8,3,27,31.24262809753418,-176.7205,52.055977,-278.74835,-74.692657
-14.7,3,27,31.24262809753418,-176.29771,51.931438,-278.08148,-74.513969
-14.6,3,27,31.24262809753418,-175.87495,51.806904,-277.41461,-74.335281
-14.5,3,27,31.24262809753418,-175.45216,51.682369,-276.74774,-74.156586
-14.4,3,27,31.24262809753418,-175.02939,51.557831,-276.08087,-73.977898
-14.3,3,27,31.24262809753418,-174.60661,51.433296,-275.41403,-73.79921
-14.2,3,27,31.24262809753418,-174.18384,51.308762,-274.74716,-73.620514
-14.1,3,27,31.24262809753418,-173.76106,51.184227,-274.08029,-73.441826
-14,3,27,31.24262809753418,-173.33829,51.059689,-273.41345,-73.263138
-13.9,3,27,31.24262809753418,-172.91551,50.935154,-272.74658,-73.084442
-13.8,3,27,31.24262809753418,-172.49274,50.810619,-272.07971,-72.905754
-13.7,3,27,31.24262809753418,-172.06996,50.686081,-271.41284,-72.727066
-13.6,3,27,31.24262809753418,-171.64719,50.561546,-270.746,-72.54837
-13.5,3,27,31.24262809753418,-171.22441,50.437012,-270.07913,-72.369682
-13.4,3,27,31.24262809753418,-170.80164,50.312473,-269.41226,-72.190994
-13.3,3,27,31.24262809753418,-170.37886,50.187939,-268.74539,-72.012299
-13.2,3,27,31.24262809753418,-169.95607,50.063404,-268.07855,-71.833611
-13.1,3,27,31.24262809753418,-169.53331,49.938866,-267.41168,-71.654922
-13,3,27,31.24262809753418,-169.11052,49.814331,-266.74481,-71.476227
