year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2203,"ss","value",0,.0566165,.2202348,0,11,"SSP3",5.486e+14,1.591469
2204,"ss","value",0,.0568701,.221221,0,11,"SSP3",5.511e+14,1.598595
2205,"ss","value",0,.0571247,.2222115,0,11,"SSP3",5.535e+14,1.605753
2206,"ss","value",0,.0573805,.2232066,0,11,"SSP3",5.560e+14,1.612944
2207,"ss","value",0,.0576375,.2242061,0,11,"SSP3",5.585e+14,1.620166
2208,"ss","value",0,.0578956,.22521,0,11,"SSP3",5.610e+14,1.627421
2209,"ss","value",0,.0581548,.2262185,0,11,"SSP3",5.635e+14,1.634709
2210,"ss","value",0,.0584152,.2272315,0,11,"SSP3",5.660e+14,1.642028
2211,"ss","value",0,.0586768,.228249,0,11,"SSP3",5.686e+14,1.649381
2212,"ss","value",0,.0589395,.2292711,0,11,"SSP3",5.711e+14,1.656767
2213,"ss","value",0,.0592035,.2302977,0,11,"SSP3",5.737e+14,1.664186
2214,"ss","value",0,.0594686,.2313289,0,11,"SSP3",5.762e+14,1.671638
2215,"ss","value",0,.0597349,.2323648,0,11,"SSP3",5.788e+14,1.679123
2216,"ss","value",0,.0600023,.2334053,0,11,"SSP3",5.814e+14,1.686642
2217,"ss","value",0,.060271,.2344505,0,11,"SSP3",5.840e+14,1.694195
2218,"ss","value",0,.0605409,.2355003,0,11,"SSP3",5.866e+14,1.701781
2219,"ss","value",0,.060812,.2365548,0,11,"SSP3",5.893e+14,1.709401
2220,"ss","value",0,.0610843,.2376141,0,11,"SSP3",5.919e+14,1.717056
2221,"ss","value",0,.0613578,.2386781,0,11,"SSP3",5.945e+14,1.724744
2222,"ss","value",0,.0616326,.2397469,0,11,"SSP3",5.972e+14,1.732468
2223,"ss","value",0,.0619086,.2408204,0,11,"SSP3",5.999e+14,1.740225
2224,"ss","value",0,.0621858,.2418987,0,11,"SSP3",6.026e+14,1.748018
2225,"ss","value",0,.0624643,.242982,0,11,"SSP3",6.053e+14,1.755845
2226,"ss","value",0,.062744,.24407,0,11,"SSP3",6.080e+14,1.763708
2227,"ss","value",0,.0630249,.2451629,0,11,"SSP3",6.107e+14,1.771605
2228,"ss","value",0,.0633071,.2462607,0,11,"SSP3",6.134e+14,1.779538
2229,"ss","value",0,.0635906,.2473634,0,11,"SSP3",6.162e+14,1.787507
2230,"ss","value",0,.0638754,.2484711,0,11,"SSP3",6.189e+14,1.795511
2231,"ss","value",0,.0641614,.2495837,0,11,"SSP3",6.217e+14,1.803551
2232,"ss","value",0,.0644487,.2507013,0,11,"SSP3",6.245e+14,1.811627
2233,"ss","value",0,.0647373,.2518239,0,11,"SSP3",6.273e+14,1.819739
2234,"ss","value",0,.0650272,.2529516,0,11,"SSP3",6.301e+14,1.827888
2235,"ss","value",0,.0653184,.2540843,0,11,"SSP3",6.329e+14,1.836073
2236,"ss","value",0,.0656108,.255222,0,11,"SSP3",6.358e+14,1.844295
2237,"ss","value",0,.0659046,.2563649,0,11,"SSP3",6.386e+14,1.852553
2238,"ss","value",0,.0661997,.2575128,0,11,"SSP3",6.415e+14,1.860849
2239,"ss","value",0,.0664962,.2586659,0,11,"SSP3",6.443e+14,1.869181
2240,"ss","value",0,.0667939,.2598242,0,11,"SSP3",6.472e+14,1.877551
2241,"ss","value",0,.067093,.2609876,0,11,"SSP3",6.501e+14,1.885959
2242,"ss","value",0,.0673935,.2621563,0,11,"SSP3",6.530e+14,1.894404
2243,"ss","value",0,.0676952,.2633302,0,11,"SSP3",6.560e+14,1.902886
2244,"ss","value",0,.0679984,.2645093,0,11,"SSP3",6.589e+14,1.911407
2245,"ss","value",0,.0683029,.2656938,0,11,"SSP3",6.618e+14,1.919966
2246,"ss","value",0,.0686087,.2668835,0,11,"SSP3",6.648e+14,1.928563
