hierid,ISO,diff,d_h,d_l,gdp,pop,gdppc,wage,diff_dis,h_dis,l_dis,diff_dis_p,h_dis_p,l_dis_p,pop_w,diff_dis_p_pw
AFG.29.R74fcec17af54c808,AFG,-3030.68802167681,-3285.24333123692,-254.555309560112,98119150,70665.39,1388.5037,0.00925669133333333,56.1082870885857,60.8209669443038,4.71267985571815,4.04091736223574,4.38032444164922,0.339407079413483,1.02063406641941e-05,4.12429791948345e-05
AFG.29.R9ff60d55ec253532,AFG,-2774.1999358797,-3096.53061319839,-322.330677318699,822777660,592448.06,1388.776,0.00925850666666667,51.3698972020168,57.3384986516695,5.96860144965272,3.69893324783959,4.12870748426453,0.429774236424932,8.55684335174672e-05,0.000316511923703311
AFG.3.23,AFG,-2777.24914944026,-3170.29780221474,-393.048652774479,56186876,40465.777,1388.5035,0.00925669,51.4162688582643,58.6929279255663,7.27665906730198,3.70299886592035,4.22706373628632,0.524064870365972,5.84455141765027e-06,2.16423672713721e-05
AFG.3.27,AFG,-4055.69597657951,-4369.75710582656,-314.061129247048,108865520,78404.92,1388.5037,0.00925669133333333,75.0846515940769,80.898985460553,5.81433386647606,5.40759463543935,5.82634280776875,0.418748172329397,1.13241761386852e-05,6.12365541383244e-05
AFG.3.32,AFG,-4021.2900853315,-4332.67477029871,-311.384684967207,50973120,36709.887,1388.5393,0.00925692866666667,74.4495909357753,80.2145225690431,5.76493163326781,5.36172011377534,5.77689969373161,0.415179579956276,5.30208086966009e-06,2.84282736437199e-05
AFG.3.R269df99329225b2a,AFG,-4052.8312669165,-4366.87629975035,-314.045032833854,331474980,238687.98,1388.7375,0.00925825,75.0442501538593,80.8592650043274,5.81501485046807,5.40377502255533,5.82250173300047,0.418726710445139,3.44741723823833e-05,0.000186290671643189
AFG.3.R928d90c14ac77c16,AFG,-2935.35793404502,-3190.31186204619,-254.953928001167,385861300,277754.72,1389.2161,0.00926144066666667,54.3712866831745,59.0937680370073,4.72248135383283,3.9138105787267,4.25374914939492,0.339938570668223,4.01166581463406e-05,0.000157009001036311
AFG.3.Rfb19c4c0f42445fa,AFG,-2550.27723915072,-2830.90728592739,-280.630046776669,605694460,428777.2,1412.6089,0.00941739266666667,48.0339243398898,53.3195310290116,5.28560668912185,3.40036965220096,3.77454304790318,0.374173395702225,6.19291306853224e-05,0.000210581936569557
AFG.30.303,AFG,-3406.81762680197,-3669.82718469238,-263.009557890414,447206050,322053.66,1388.6073,0.009257382,63.0764243512785,67.9459842453638,4.86955989408535,4.54242350240262,4.89310291292317,0.350679410520552,4.65148408026975e-05,0.00021129010607269
AFG.30.R600c8571d9eda691,AFG,-3029.16598793089,-3278.63053766995,-249.464549739069,562255600,404936.34,1388.5037,0.00925669133333333,56.0801090954159,60.698541766503,4.61843267108708,4.03888798390785,4.37150738355994,0.332619399652092,5.8485748587136e-05,0.000236217387198439
