year,fair_temperatures_anomaly_pulse,fair_temperatures_anomaly_rcp,rcp
2259,6.9689426,6.9681768,rcp85
2260,6.9743991,6.9736333,rcp85
2261,6.9794116,6.9786463,rcp85
2262,6.9855394,6.9847746,rcp85
2263,6.9929705,6.9922061,rcp85
2264,7.003674,7.0029101,rcp85
2265,7.0180426,7.0172791,rcp85
2266,7.0342269,7.033464,rcp85
2267,7.0515552,7.0507927,rcp85
2268,7.0639229,7.0631604,rcp85
2269,7.0731373,7.0723753,rcp85
2270,7.079165,7.0784035,rcp85
2271,7.0840092,7.0832481,rcp85
2272,7.0880075,7.0872464,rcp85
2273,7.0931573,7.0923967,rcp85
2274,7.1013627,7.1006026,rcp85
2275,7.1129093,7.1121497,rcp85
2276,7.1261129,7.1253538,rcp85
2277,7.1382132,7.1374545,rcp85
2278,7.1491027,7.1483445,rcp85
2279,7.157742,7.1569843,rcp85
2280,7.1633115,7.1625543,rcp85
2281,7.168014,7.1672573,rcp85
2282,7.1730299,7.1722732,rcp85
2283,7.1785684,7.1778121,rcp85
2284,7.186367,7.1856112,rcp85
2285,7.1981406,7.1973858,rcp85
2286,7.2131829,7.2124281,rcp85
2287,7.2280145,7.2272601,rcp85
2288,7.2412195,7.2404656,rcp85
2289,7.2486982,7.2479448,rcp85
2290,7.2553196,7.2545662,rcp85
2291,7.2599974,7.2592449,rcp85
2292,7.263453,7.262701,rcp85
2293,7.2669001,7.2661481,rcp85
2294,7.2723565,7.271605,rcp85
2295,7.2819877,7.2812366,rcp85
2296,7.2943764,7.2936263,rcp85
2297,7.3091221,7.308372,rcp85
2298,7.3224192,7.3216696,rcp85
2299,7.3319111,7.331162,rcp85
2300,7.3365612,7.3358121,rcp85
2301,7.3420148,7.3412666,rcp85
2302,7.348073,7.3473248,rcp85
2303,7.3545828,7.3538351,rcp85
2304,7.3614292,7.360682,rcp85
2305,7.3685241,7.3677773,rcp85
2306,7.3758001,7.3750539,rcp85
2307,7.3832073,7.3824615,rcp85
2308,7.390707,7.3899617,rcp85
2309,7.3982692,7.3975244,rcp85
2310,7.4058719,7.405127,rcp85
2311,7.4134979,7.4127541,rcp85
2312,7.4211349,7.4203911,rcp85
2313,7.4287729,7.4280295,rcp85
2314,7.4364042,7.4356613,rcp85
2315,7.4440241,7.4432817,rcp85
2316,7.4516273,7.4508853,rcp85
2317,7.4592113,7.4584699,rcp85
2318,7.466774,7.466033,rcp85
2319,7.4743128,7.4735723,rcp85
2320,7.4818273,7.4810867,rcp85
2321,7.4893155,7.4885755,rcp85
2322,7.4967775,7.496038,rcp85
2323,7.5042124,7.5034733,rcp85
2324,7.51162,7.5108814,rcp85
2325,7.5190001,7.5182619,rcp85
2326,7.5263524,7.5256147,rcp85
2327,7.5336771,7.5329394,rcp85
2328,7.5409737,7.5402365,rcp85
2329,7.5482426,7.5475059,rcp85
2330,7.5554833,7.5547476,rcp85
2331,7.5626965,7.5619612,rcp85
2332,7.5698819,7.5691471,rcp85
2333,7.5770402,7.5763054,rcp85
2334,7.5841703,7.583436,rcp85
2335,7.5912733,7.5905395,rcp85
2336,7.5983486,7.5976152,rcp85
2337,7.6053967,7.6046638,rcp85
2338,7.6124182,7.6116853,rcp85
2339,7.6194119,7.61868,rcp85
2340,7.626379,7.6256475,rcp85
2341,7.6333194,7.6325879,rcp85
2342,7.6402326,7.639502,rcp85
2343,7.6471195,7.646389,rcp85
2344,7.6539798,7.6532497,rcp85
2345,7.6608138,7.6600842,rcp85
2346,7.6676216,7.6668925,rcp85
2347,7.6744032,7.6736741,rcp85
2348,7.6811581,7.6804299,rcp85
2349,7.6878877,7.6871595,rcp85
2350,7.694591,7.6938634,rcp85
2351,7.7012687,7.7005415,rcp85
2352,7.7079201,7.7071934,rcp85
2353,7.7145452,7.713819,rcp85
2354,7.7211442,7.7204185,rcp85
2355,7.7277169,7.7269917,rcp85
2356,7.7342639,7.7335391,rcp85
2357,7.7407851,7.7400608,rcp85
2358,7.7472801,7.7465563,rcp85
2359,7.7537498,7.753026,rcp85
2360,7.7601938,7.7594705,rcp85
2361,7.7666121,7.7658892,rcp85
2362,7.7730055,7.7722831,rcp85
2363,7.7793732,7.7786512,rcp85
2364,7.7857161,7.7849946,rcp85
2365,7.7920341,7.7913132,rcp85
2366,7.7983274,7.7976065,rcp85
2367,7.8045955,7.8038754,rcp85
2368,7.8108397,7.8101196,rcp85
2369,7.817059,7.8163395,rcp85
2370,7.8232541,7.822535,rcp85
2371,7.8294249,7.8287063,rcp85
2372,7.8355718,7.8348536,rcp85
2373,7.8416944,7.8409767,rcp85
2374,7.8477936,7.8470759,rcp85
2375,7.8538685,7.8531518,rcp85
2376,7.85992,7.8592033,rcp85
2377,7.8659477,7.8652315,rcp85
2378,7.8719521,7.8712363,rcp85
2379,7.877933,7.8772178,rcp85
2380,7.8838911,7.8831763,rcp85
2381,7.8898253,7.889111,rcp85
2382,7.8957372,7.8950229,rcp85
2383,7.9016256,7.9009118,rcp85
2384,7.9074912,7.9067783,rcp85
2385,7.9133339,7.9126215,rcp85
2386,7.9191542,7.9184418,rcp85
2387,7.9249516,7.9242401,rcp85
2388,7.930727,7.9300156,rcp85
2389,7.9364796,7.9357686,rcp85
2390,7.9422097,7.9414992,rcp85
2391,7.9479179,7.9472075,rcp85
2392,7.9536037,7.9528937,rcp85
2393,7.9592676,7.9585581,rcp85
2394,7.9649096,7.9642005,rcp85
2395,7.9705296,7.969821,rcp85
2396,7.9761276,7.9754195,rcp85
2397,7.9817042,7.9809966,rcp85
2398,7.9872589,7.9865518,rcp85
2399,7.9927921,7.9920855,rcp85
2400,7.9983039,7.9975977,rcp85
2401,8.0037947,8.003088,rcp85
2402,8.009263,8.0085573,rcp85
2403,8.0147104,8.0140047,rcp85
2404,8.0201359,8.0194311,rcp85
2405,8.0255394,8.0248356,rcp85
2406,8.0309219,8.0302181,rcp85
2407,8.0362835,8.0355797,rcp85
2408,8.0416231,8.0409193,rcp85
2409,8.0469408,8.0462389,rcp85
2410,8.0522385,8.0515366,rcp85
2411,8.0575142,8.0568132,rcp85
2412,8.0627699,8.062068,rcp85
2413,8.0680046,8.0673027,rcp85
2414,8.0732174,8.0725174,rcp85
2415,8.0784111,8.0777102,rcp85
2416,8.0835829,8.0828829,rcp85
2417,8.0887346,8.0880356,rcp85
2418,8.0938663,8.0931673,rcp85
2419,8.0989771,8.098279,rcp85
2420,8.1040688,8.1033707,rcp85
2421,8.1091394,8.1084414,rcp85
2422,8.1141901,8.113493,rcp85
2423,8.1192217,8.1185246,rcp85
2424,8.1242323,8.1235361,rcp85
2425,8.1292238,8.1285276,rcp85
2426,8.1341953,8.1335001,rcp85
2427,8.1391478,8.1384525,rcp85
2428,8.1440802,8.1433849,rcp85
2429,8.1489935,8.1482983,rcp85
2430,8.1538868,8.1531925,rcp85
2431,8.158761,8.1580677,rcp85
2432,8.1636171,8.1629238,rcp85
2433,8.1684532,8.1677599,rcp85
2434,8.1732702,8.1725779,rcp85
2435,8.1780682,8.1773758,rcp85
2436,8.182848,8.1821556,rcp85
2437,8.1876078,8.1869164,rcp85
2438,8.1923494,8.191659,rcp85
2439,8.197073,8.1963825,rcp85
2440,8.2017775,8.201087,rcp85
2441,8.2064629,8.2057734,rcp85
