temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3,no_wgt_manuf2,risk_adj_sample_wgt_manuf2,pop_adj_sample_wgt_manuf2,no_wgt_hr4,risk_adj_sample_wgt_hr4,pop_adj_sample_wgt_hr4,no_wgt_agri,risk_adj_sample_wgt_agri,pop_adj_sample_wgt_agri,no_wgt_connmine,risk_adj_sample_wgt_connmine,pop_adj_sample_wgt_connmine,no_wgt_manuft,risk_adj_sample_wgt_manuft,pop_adj_sample_wgt_manuft,no_wgt_lomaco,risk_adj_sample_wgt_lomaco,pop_adj_sample_wgt_lomaco
-5.6,14,.0001543521355956,.0000657481668895,13,.0001542731556583,.0000629610137821,1,7.89799372569e-08,2.78715310742e-06,1,7.89799372569e-08,2.78715310742e-06,0,0,0,0,0,0,1,7.89799372569e-08,2.78715310742e-06,0,0,0,1,7.89799372569e-08,2.78715310742e-06,0,0,0,14,.0001543521355956,.0000657481668895
-5.5,19,.0000716172494464,.0000344871307334,16,.0000675601886542,.0000275722516108,3,4.05706079221e-06,6.91487912263e-06,3,4.05706079221e-06,6.91487912263e-06,0,0,0,1,3.92098127122e-06,2.11271753869e-06,2,1.36079520985e-07,4.80216158394e-06,0,0,0,2,1.36079520985e-07,4.80216158394e-06,1,3.92098127122e-06,2.11271753869e-06,19,.0000716172494464,.0000344871307334
-5.4,12,.0000755836997541,.0000331954817057,6,.0000576146967433,.0000235133575188,6,.0000179690030109,9.68212418684e-06,6,.0000179690030109,9.68212418684e-06,0,0,0,6,.0000179690030109,9.68212418684e-06,0,0,0,0,0,0,0,0,0,6,.0000179690030109,9.68212418684e-06,12,.0000755836997541,.0000331954817057
-5.3,10,.0000536623749667,.0000230594793607,9,.0000447944878488,.0000182812520393,1,8.86788711796e-06,4.77822732137e-06,1,8.86788711796e-06,4.77822732137e-06,0,0,0,1,8.86788711796e-06,4.77822732137e-06,0,0,0,0,0,0,0,0,0,1,8.86788711796e-06,4.77822732137e-06,10,.0000536623749667,.0000230594793607
-5.2,13,.0000344892916928,.0000357942783467,4,.0000138644491017,5.65827394894e-06,9,.0000206248425911,.0000301360043977,9,.0000206248425911,.0000301360043977,0,0,0,5,.0000200774311452,.0000108181950509,4,5.47411445950e-07,.0000193178093468,0,0,0,4,5.47411445950e-07,.0000193178093468,5,.0000200774311452,.0000108181950509,13,.0000344892916928,.0000357942783467
-5.1,13,.0001133045948336,.0000462411768467,13,.0001133045948336,.0000462411768467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,.0001133045948336,.0000462411768467
-5,16,.0000871155320965,.0000398749592705,10,.0000540506628113,.0000220588254933,6,.0000330648692852,.0000178161337772,6,.0000330648692852,.0000178161337772,0,0,0,6,.0000330648692852,.0000178161337772,0,0,0,0,0,0,0,0,0,6,.0000330648692852,.0000178161337772,16,.0000871155320965,.0000398749592705
-4.9,17,.000148358880665,.0000644170114583,13,.0001187536676071,.000048465021905,4,.0000296052130579,.0000159519895533,4,.0000296052130579,.0000159519895533,0,0,0,4,.0000296052130579,.0000159519895533,0,0,0,0,0,0,0,0,0,4,.0000296052130579,.0000159519895533,17,.000148358880665,.0000644170114583
-4.8,20,.0001088986355171,.0000455468828022,18,.0001004536752589,.0000409965384733,2,8.44496025820e-06,4.55034432889e-06,2,8.44496025820e-06,4.55034432889e-06,0,0,0,2,8.44496025820e-06,4.55034432889e-06,0,0,0,0,0,0,0,0,0,2,8.44496025820e-06,4.55034432889e-06,20,.0001088986355171,.0000455468828022
-4.7,12,.0000895266498446,.0000376899910748,10,.0000807061783235,.0000329373119143,2,8.82047152118e-06,4.75267916045e-06,2,8.82047152118e-06,4.75267916045e-06,0,0,0,2,8.82047152118e-06,4.75267916045e-06,0,0,0,0,0,0,0,0,0,2,8.82047152118e-06,4.75267916045e-06,12,.0000895266498446,.0000376899910748
-4.6,14,.0000806896698577,.0000383432452509,8,.0000392798522171,.000016030653569,6,.0000414098176407,.0000223125916818,6,.0000414098176407,.0000223125916818,0,0,0,6,.0000414098176407,.0000223125916818,0,0,0,0,0,0,0,0,0,6,.0000414098176407,.0000223125916818,14,.0000806896698577,.0000383432452509
