temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3
-.2,40,.0001797905509875,.0000865076709999,33,.0001573854389676,.0000737889396021,7,.0000224051120199,.0000127187313979,7,.0000224051120199,.0000127187313979,0,0,0
-.1,44,.0001717738329035,.0000844720597115,35,.0001319348774587,.0000618566410822,9,.0000398389554448,.0000226154186294,9,.0000398389554448,.0000226154186294,0,0,0
0,99,.0004438098529249,.0002236021200019,70,.0003224764597007,.0001563825885285,29,.0001213333932242,.0000672195314735,29,.0001213333932242,.0000672195314735,0,0,0
.1,48,.0002519903001144,.000125423503107,32,.0001462950411337,.0000692103645292,16,.0001056952589806,.0000562131385777,16,.0001056952589806,.0000562131385777,0,0,0
.2,64,.000370598451866,.0001818922496,53,.0003164914751324,.0001511772901495,11,.0000541069767337,.0000307149594505,11,.0000541069767337,.0000307149594505,0,0,0
.3,47,.0003276060736255,.0001565751549606,37,.000297457034435,.0001394604203711,10,.0000301490391905,.0000171147345895,10,.0000301490391905,.0000171147345895,0,0,0
.4,41,.0001875021264186,.000122725613096,25,.0001104356557562,.0000517768970667,16,.0000770664706624,.0000709487160293,10,.0000768482065041,.0000436244956745,6,2.18264158303e-07,.0000273242203548
.5,70,.0003842303315773,.0001944401648188,45,.000299310530977,.0001403294127726,25,.0000849198006003,.0000541107520462,23,.0000849088531254,.0000482002906779,2,1.09474749266e-08,5.91046136833e-06
.6,61,.0003577347768748,.0001790470160614,44,.0003059395962168,.0001470879696654,17,.000051795180658,.000031959046396,15,.0000517880708912,.000029079244996,2,7.10976677532e-09,2.87980140001e-06
.7,80,.0004595595613637,.0002261369443204,62,.0003579896064139,.0001684786298028,18,.0001015699549498,.0000576583145175,18,.0001015699549498,.0000576583145175,0,0,0
.8,67,.0003550601856088,.0001730652671199,56,.0003272930650837,.0001562738340226,11,.0000277671205251,.0000167914330973,10,.0000277650913176,.0000159695053412,1,2.02920746872e-09,8.21927756078e-07
.9,69,.0004734668479265,.0002352021037382,51,.0003873696986147,.0001839420398824,18,.0000860971493117,.0000512600638558,17,.0000860935604123,.0000498063849363,1,3.58889939989e-09,1.45367891946e-06
1,65,.0003589163384277,.0001851731576608,47,.0001874716610359,.0000877697229384,18,.0001714446773917,.0000974034347223,18,.0001714446773917,.0000974034347223,0,0,0
1.1,77,.0002404335616666,.0001215713354554,52,.0001799962908535,.0000833956716804,25,.0000604372708131,.0000381756637751,22,.0000604310214953,.0000350782409839,3,6.24931772997e-09,3.09742279114e-06
1.2,80,.0004230526901718,.000214273400104,55,.0002895632935065,.0001363233321854,25,.0001334893966654,.0000779500679187,23,.0001334833335136,.0000746766166344,2,6.06315175844e-09,3.27345128426e-06
1.3,87,.0003757173451149,.0001892334235265,70,.0003414485465782,.0001612548082051,17,.0000342687985366,.0000279786153214,13,.0000342534479501,.0000196909460328,4,1.53505865796e-08,8.28766928862e-06
1.4,46,.0001548760492959,.0000836076791302,26,.0001024245437975,.0000491017909212,20,.0000524515054984,.000034505888209,17,.0000524422700892,.0000297699549492,3,9.23540921516e-09,4.73593325978e-06
1.5,55,.0003311973250142,.0001592093661884,48,.0003078747237168,.0001455869859797,7,.0000233226012973,.0000136223802087,6,.00002332189149,.0000132391604097,1,7.09807324029e-10,3.83219799005e-07
1.6,89,.000651732001451,.0003206416700436,75,.0006137276600953,.000288253023939,14,.0000380043413557,.0000323886461047,12,.0000378765823825,.0000205211536013,2,1.27758973179e-07,.0000118674925034
1.7,94,.0004521837617895,.0002312290754958,74,.0003506302550704,.0001644957528697,20,.000101553506719,.0000667333226261,18,.0001014603550971,.0000568237424545,2,9.31516219715e-08,9.90958017155e-06
1.8,84,.0003632884828364,.0001863314563764,72,.0002225457481586,.0001060701034419,12,.0001407427346778,.0000802613529345,11,.0001407394727266,.0000789401039469,1,3.26195115363e-09,1.32124898755e-06
1.9,64,.0002996353170337,.0001515463592909,50,.0002444376711424,.000114063567878,14,.0000551976458913,.0000374827914129,11,.0000551862888187,.0000316438224672,3,1.13570726157e-08,5.83896894568e-06
2,68,.0005617131207973,.0002742836506684,53,.0004828777405805,.0002292685406644,15,.0000788353802168,.000045015110004,14,.0000788328597991,.0000436543550677,1,2.52041765236e-09,1.36075493629e-06
2.1,57,.000323797805357,.0001742169313275,39,.0001998318068672,.0000944534369864,18,.0001239659984897,.000079763494341,14,.0001239451116817,.0000687455653861,4,2.08868080609e-08,.000011017928955
2.2,90,.0004581518433993,.0002345179610472,60,.0003215510800487,.0001521580238375,30,.0001366007633505,.0000823599372097,26,.0001365733180592,.0000741595848694,4,2.74452913729e-08,8.20035234028e-06
2.3,66,.0002418578418997,.0001166828550936,60,.0002050819970805,.0000977942768827,6,.0000367758448192,.0000188885782109,6,.0000367758448192,.0000188885782109,0,0,0
2.4,88,.000382784789362,.0002024711391755,69,.0003020341844149,.000142964006784,19,.0000807506049472,.0000595071323914,15,.000080613964542,.0000442031672492,4,1.36640405213e-07,.0000153039651423
2.5,76,.0003242052255814,.0001550537563446,62,.0002830459019378,.0001324414405133,14,.0000411593236436,.0000226123158313,14,.0000411593236436,.0000226123158313,0,0,0
2.6,91,.0003800111806507,.0001901022675668,67,.0002719565644611,.0001269109746715,24,.0001080546161896,.0000631912928952,23,.0001080512842009,.0000618416754037,1,3.33198868496e-09,1.34961749154e-06
2.7,93,.0004418118753051,.0002136184585879,74,.0003874828355492,.0001839745982579,19,.0000543290397559,.00002964386033,19,.0000543290397559,.00002964386033,0,0,0
2.8,107,.0006352597035288,.0003040862578132,92,.0005911162519965,.0002790273022697,15,.0000441434515324,.0000250589555435,15,.0000441434515324,.0000250589555435,0,0,0
2.9,83,.000367298643198,.0001799942628509,66,.0002804183313856,.0001324779207152,17,.0000868803118124,.0000475163421356,17,.0000868803118124,.0000475163421356,0,0,0
3,108,.0005026849937537,.0002455688921259,85,.0004099039944663,.000193843576767,23,.0000927809992874,.0000517253153589,22,.0000927777373363,.0000504040663714,1,3.26195115363e-09,1.32124898755e-06
3.1,124,.0006716485568177,.0003288843347207,103,.0005747398051881,.0002758092001045,21,.0000969087516296,.0000530751346162,21,.0000969087516296,.0000530751346162,0,0,0
3.2,111,.0008447694427218,.0004220916216866,82,.000584975100594,.0002769777941296,29,.0002597943421279,.000145113827557,29,.0002597943421279,.000145113827557,0,0,0
3.3,139,.0006648903505426,.0003298903176301,112,.0005683298591066,.0002682255747004,27,.000096560491436,.0000616647429297,23,.0000965455829487,.0000541648373087,4,1.49084873335e-08,7.49990562099e-06
3.4,164,.000755465495361,.0003824296940991,111,.000534950691133,.0002505342689005,53,.000220514804228,.0001318954251985,50,.0002205013432786,.0001250772561718,3,1.34609494662e-08,6.81816902670e-06
3.5,93,.0004560906856454,.0002152971542273,74,.000392245733849,.000180073836674,19,.0000638449517965,.0000352233175533,19,.0000638449517965,.0000352233175533,0,0,0
3.6,151,.000816437834203,.0004043961471893,110,.00059255054299,.0002825764217675,41,.000223887291213,.0001218197254218,41,.000223887291213,.0001218197254218,0,0,0
3.7,124,.0007091053839808,.0003429968647595,102,.0005955715260484,.0002763190802568,22,.0001135338579324,.0000666777845026,21,.0001135325484256,.0000659707912973,1,1.30950683630e-09,7.06993205313e-07
3.8,107,.0005977351268029,.0002873445130263,92,.0005411436416125,.0002526416793103,15,.0000565914851904,.000034702833716,15,.0000565914851904,.000034702833716,0,0,0
3.9,94,.000627873334538,.0003138764197956,67,.000484995633883,.0002326264510089,27,.0001428777006549,.0000812499687868,25,.0001428730838597,.0000793799420649,2,4.61679516839e-09,1.87002672192e-06
