inc_log,yhat,se,lowerci_hi,upperci_hi
10.470221,-.036926065,.010671151,-.057841137,-.016010994
10.473054,-.037545949,.010685517,-.058489177,-.016602717
10.475879,-.038163953,.010699846,-.059135266,-.017192639
10.478696,-.038780287,.010714141,-.059779618,-.017780958
10.481504,-.039394744,.010728396,-.060422014,-.018367475
10.484305,-.040007532,.010742618,-.061062679,-.01895239
10.487099,-.040618654,.010756806,-.061701603,-.019535702
10.489884,-.041228104,.01077096,-.062338796,-.02011741
10.492662,-.041835885,.010785079,-.062974252,-.020697517
10.495432,-.042441785,.010799159,-.063607752,-.021275822
10.498195,-.043046229,.010813211,-.064239733,-.021852726
10.50095,-.043649003,.010827227,-.064869978,-.022428026
10.503696,-.0442499,.010841206,-.06549827,-.023001526
10.506436,-.044849332,.010855154,-.066125043,-.023573624
10.509169,-.0454471,.010869068,-.066750079,-.024144119
10.511893,-.046043199,.010882947,-.06737338,-.024713013
10.514611,-.046637833,.010896796,-.067995161,-.025280504
10.517321,-.04723059,.010910607,-.06861499,-.025846194
10.520023,-.047821891,.010924388,-.069233298,-.026410485
10.522719,-.048411727,.010938138,-.069850087,-.02697337
10.525407,-.048999686,.010951849,-.070464917,-.027534457
10.528089,-.049586397,.010965534,-.071078449,-.028094342
10.530762,-.050171226,.010979181,-.071690023,-.028652426
10.533428,-.050754596,.010992797,-.072300084,-.029209107
10.536088,-.051336505,.011006383,-.072908618,-.029764388
10.538741,-.051916953,.01101994,-.073515639,-.030318268
10.541387,-.052495733,.01103346,-.074120916,-.030870548
10.544024,-.053072844,.011046946,-.074724458,-.031421226
10.546657,-.053648699,.011060406,-.075326696,-.031970702
10.549281,-.054222889,.011073832,-.075927205,-.032518577
10.551899,-.054795619,.011087228,-.076526187,-.033065051
10.55451,-.055366885,.011100592,-.077123649,-.033610128
10.557114,-.055936486,.011113921,-.077719368,-.034153599
10.559711,-.056504834,.011127225,-.07831379,-.034695871
10.562302,-.057071511,.011140493,-.078906476,-.035236545
10.564886,-.057636935,.011153736,-.079497859,-.035776015
10.567463,-.058200695,.011166943,-.080087498,-.036313888
10.570034,-.058763199,.011180124,-.08067584,-.036850557
10.572598,-.059324242,.011193275,-.081262663,-.037385829
10.575155,-.059883621,.01120639,-.081847742,-.037919499
10.577706,-.060441744,.011219479,-.082431518,-.038451966
10.580252,-.060998615,.011232543,-.083013996,-.038983233
10.582789,-.061553817,.011245571,-.083594732,-.039512902
10.585321,-.062107768,.011258572,-.084174164,-.040041372
10.587846,-.062660046,.011271538,-.084751859,-.04056824
10.590365,-.063211285,.011284483,-.085328467,-.041094109
10.592877,-.063760854,.011297392,-.085903339,-.041618377
10.595384,-.064309172,.011310275,-.086476907,-.042141445
10.597884,-.064856239,.011323131,-.087049171,-.04266331
10.600378,-.065401845,.011335957,-.087619908,-.043183777
10.602865,-.06594599,.011348751,-.088189133,-.043702845
10.605347,-.066488884,.011361519,-.088757053,-.044220712
10.607821,-.067030311,.011374256,-.089323446,-.044737183
10.610291,-.067570701,.011386972,-.089888759,-.045252647
10.612754,-.068109423,.011399651,-.090452328,-.045766518
10.615211,-.068647102,.011412309,-.09101481,-.046279386
10.617662,-.069183312,.011424935,-.091575779,-.046790853
10.620107,-.06971807,.011437531,-.092135221,-.047300924
10.622546,-.070251785,.011450103,-.092693575,-.047809992
10.624979,-.070784032,.011462646,-.093250409,-.04831766
10.627406,-.071315035,.011475162,-.093805939,-.048824131
10.629827,-.071844779,.011487651,-.094360165,-.0493294
10.632243,-.072373278,.011500113,-.094913088,-.049833469
10.634653,-.072900519,.011512549,-.095464706,-.050336342
10.637056,-.073426306,.011524953,-.096014798,-.050837815
10.639455,-.073951043,.011537336,-.096563809,-.051338285
10.641847,-.074474327,.011549686,-.097111292,-.051837359
10.644234,-.074996561,.011562015,-.097657695,-.05233543
10.646615,-.07551755,.011574317,-.098202795,-.052832305
10.64899,-.076037072,.011586588,-.098746367,-.05332778
10.65136,-.076555558,.011598836,-.099288858,-.053822253
10.653724,-.077072784,.011611057,-.099830039,-.05431553
10.656082,-.077588759,.011623252,-.10036992,-.054807603
10.658435,-.07810349,.01163542,-.10090849,-.055298481
10.660783,-.07861717,.011647566,-.10144598,-.055788361
10.663124,-.07912939,.01165968,-.10198195,-.056276839
10.665461,-.079640567,.011671771,-.10251682,-.056764316
10.667792,-.080150701,.011683841,-.10305061,-.057250798
10.670117,-.080659382,.011695879,-.10358288,-.057735879
10.672438,-.081167012,.011707895,-.10411406,-.058219962
10.674752,-.081673391,.011719882,-.10464394,-.058702841
10.677062,-.082178727,.011731849,-.10517273,-.059184726
10.679366,-.082682811,.011743788,-.10570022,-.059665412
10.681665,-.083185852,.011755705,-.10622662,-.060145095
10.683959,-.083687641,.011767594,-.1067517,-.060623582
10.686247,-.084188178,.011779456,-.10727549,-.06110087
10.68853,-.084687673,.011791297,-.1077982,-.06157716
10.690808,-.085186124,.011803115,-.1083198,-.062052447
10.693081,-.085683323,.011814905,-.10884012,-.062526539
10.695348,-.086179271,.011826668,-.10935912,-.062999435
10.697611,-.086674385,.011838414,-.10987725,-.063471526
10.699868,-.087168247,.011850132,-.11039408,-.063942418
10.70212,-.087660857,.011861823,-.1109096,-.06441211
10.704368,-.088152632,.011873496,-.11142426,-.064881012
10.70661,-.088643156,.011885142,-.1119376,-.065348707
10.708847,-.089132637,.011896765,-.11244987,-.065815404
10.711079,-.089620866,.011908361,-.11296082,-.066280901
10.713306,-.090108253,.011919939,-.1134709,-.066745602
10.715528,-.090594396,.011931489,-.11397969,-.06720911
10.717746,-.091079496,.011943018,-.11448738,-.067671612
10.719958,-.091563553,.011954524,-.11499398,-.068133116
10.722165,-.09204635,.011966001,-.11549929,-.06859342
10.724368,-.092528321,.011977461,-.11600371,-.069052927
10.726566,-.093009248,.011988899,-.11650705,-.069511436
10.728759,-.093488917,.012000308,-.1170091,-.069968745
10.730947,-.093967758,.0120117,-.11751026,-.070425257
10.73313,-.094445348,.012023064,-.11801012,-.07088057
10.73531,-.094922096,.012034412,-.11850911,-.071335085
10.737483,-.095397599,.01204573,-.1190068,-.0717884
10.739653,-.095872268,.012057031,-.11950361,-.072240919
10.741817,-.096345678,.012068304,-.11999912,-.072692238
10.743977,-.096818261,.012079559,-.12049376,-.07314276
10.746132,-.097289793,.012090792,-.12098731,-.073592275
10.748282,-.09776029,.012102001,-.12147977,-.0740408
10.750428,-.098229736,.012113188,-.12197115,-.074488327
10.752569,-.098698147,.012124352,-.12246144,-.074934848
10.754706,-.099165715,.012135497,-.12295085,-.075380579
10.756839,-.099632241,.01214662,-.12343919,-.075825304
10.758966,-.10009773,.012157721,-.12392642,-.076269038
10.761089,-.10056217,.012168797,-.12441257,-.076711766
10.763208,-.10102578,.012179856,-.12489786,-.077153698
10.765322,-.10148814,.012190887,-.12538183,-.077594437
10.767432,-.10194986,.012201904,-.12586516,-.078034572
10.769537,-.10241035,.012212894,-.12634718,-.078473508
10.771638,-.10286999,.012223866,-.12682833,-.078911647
10.773734,-.10332859,.012234814,-.12730838,-.079348795
10.775826,-.10378636,.012245745,-.12778758,-.079785131
10.777914,-.10424308,.012256652,-.12826568,-.080220476
10.779998,-.10469896,.012267541,-.1287429,-.080655023
10.782077,-.10515381,.012278408,-.12921904,-.081088573
10.784151,-.10560761,.01228925,-.1296941,-.081521124
10.786222,-.10606058,.012300075,-.13016827,-.08195287
10.788287,-.1065125,.012310877,-.13064137,-.082383625
10.790349,-.10696359,.012321659,-.1311136,-.082813583
10.792407,-.10741384,.012332425,-.13158496,-.083242737
10.79446,-.10786305,.012343166,-.13205522,-.083670892
10.79651,-.10831143,.01235389,-.13252461,-.08409825
10.798554,-.10875876,.012364591,-.13299292,-.084524617
10.800595,-.10920526,.012375272,-.13346036,-.084950179
10.802632,-.10965092,.012385936,-.13392691,-.085374944
10.804665,-.11009555,.012396576,-.1343924,-.085798711
10.806693,-.11053934,.012407198,-.134857,-.086221673
10.808718,-.11098229,.012417802,-.13532074,-.086643845
10.810738,-.1114242,.012428381,-.13578337,-.087065019
10.812754,-.11186527,.012438944,-.13624515,-.087485388
10.814766,-.11230551,.012449487,-.13670605,-.087904967
10.816773,-.1127447,.012460006,-.13716587,-.088323541
10.818778,-.11318327,.012470514,-.13762504,-.088741519
10.820778,-.1136208,.012480997,-.1380831,-.089158498
10.822774,-.1140575,.012491461,-.13854031,-.08957468
10.824766,-.11449336,.012501908,-.13899665,-.089990065
10.826754,-.11492817,.01251233,-.13945189,-.090404451
10.828738,-.11536236,.012522739,-.13990648,-.090818241
10.830718,-.1157955,.012533125,-.14035998,-.091231033
10.832694,-.11622781,.012543492,-.14081261,-.091643021
10.834667,-.1166595,.012553846,-.14126459,-.092054412
10.836636,-.11709014,.012564177,-.14171548,-.092464812
10.8386,-.11751995,.012574488,-.1421655,-.092874408
10.840561,-.11794892,.012584781,-.14261463,-.093283206
10.842518,-.11837706,.012595056,-.14306292,-.093691207
10.844471,-.11880437,.012605311,-.14351033,-.094098412
