inc_log,yhat,se,lowerci_hi,upperci_hi
10.343354,.11784463,.014333164,.089752138,.14593711
10.346569,.11721481,.014349063,.089091167,.14533846
10.349774,.11658688,.014364922,.088432148,.14474161
10.352969,.11596099,.014380738,.08777526,.14414673
10.356154,.11533698,.014396514,.087120324,.14355363
10.359329,.11471501,.014412246,.086467527,.1429625
10.362494,.11409511,.014427934,.085816875,.14237334
10.365648,.11347707,.014443582,.085168168,.14178596
10.368793,.11286108,.014459185,.084521599,.14120057
10.371927,.11224697,.014474749,.083876982,.14061695
10.375052,.11163472,.014490272,.08323431,.14003514
10.378168,.11102434,.014505756,.08259359,.13945511
10.381273,.11041602,.014521195,.081955008,.13887703
10.384369,.10980957,.014536593,.081318371,.13830076
10.387456,.10920479,.014551956,.080683485,.1377261
10.390532,.10860208,.014567274,.080050744,.1371534
10.3936,.10800104,.014582556,.079419754,.13658233
10.396658,.10740206,.014597792,.078790911,.13601321
10.399707,.10680476,.014612993,.078163818,.1354457
10.402746,.10620933,.014628153,.077538677,.13487998
10.405777,.10561558,.014643277,.076915286,.13431588
10.408798,.1050237,.01465836,.076293841,.13375355
10.41181,.10443369,.014673402,.075674348,.13319302
10.414813,.10384535,.014688407,.075056605,.1326341
10.417807,.10325889,.014703372,.074440807,.13207696
10.420793,.10267392,.014718304,.073826574,.13152127
10.423768,.10209101,.014733192,.073214479,.13096753
10.426736,.10150959,.014748046,.072603948,.13041523
10.429694,.10093004,.01476286,.071995363,.12986471
10.432644,.10035217,.014777636,.071388528,.12931579
10.435585,.099775977,.014792376,.070783451,.1287685
10.438518,.099201471,.014807079,.070180133,.12822281
10.441442,.098628648,.014821745,.069578558,.12767874
10.444357,.098057501,.014836374,.068978742,.12713626
10.447265,.097487852,.01485097,.06838049,.12659521
10.450163,.096920073,.014865524,.067784183,.12605597
10.453053,.096353792,.014880046,.067189433,.12551814
10.455935,.095789373,.014894526,.066596635,.1249821
10.458808,.095226444,.014908974,.066005394,.1244475
10.461674,.094665021,.014923388,.065415718,.12391432
10.464531,.094105273,.014937765,.064827792,.12338275
10.46738,.09354721,.014952105,.064241618,.12285279
10.470221,.092990637,.014966412,.063657008,.12232427
10.473054,.092435561,.014980685,.063073955,.12179717
10.475879,.091882169,.014994921,.062492661,.12127167
10.478696,.091330267,.015009124,.061912924,.12074761
10.481504,.09078005,.015023288,.061334945,.12022515
10.484305,.090231322,.01503742,.060758524,.11970413
10.487099,.089684099,.015051519,.060183659,.11918453
10.489884,.089138359,.015065584,.059610359,.11866637
10.492662,.088594124,.015079616,.059038617,.11814962
10.495432,.088051565,.01509361,.058468632,.1176345
10.498195,.08751031,.015107575,.057900012,.11712062
10.50095,.08697056,.015121507,.057332952,.11660817
10.503696,.086432487,.015135399,.056767646,.11609732
10.506436,.085895717,.015149264,.056203704,.11558773
10.509169,.085360445,.015163094,.055641327,.11507957
10.511893,.084826671,.015176891,.055080507,.11457283
10.514611,.0842942,.015190659,.054521054,.11406735
10.517321,.083763413,.015204389,.053963356,.11356346
10.520023,.08323393,.015218088,.053407025,.11306084
10.522719,.082705759,.015231759,.052852057,.11255946
10.525407,.082179271,.015245392,.052298848,.11205969
10.528089,.0816539,.015259,.051746808,.11156099
10.530762,.081130207,.015272569,.051196523,.1110639
10.533428,.080607831,.015286108,.050647609,.11056805
10.536088,.08008676,.015299619,.050100055,.11007345
10.538741,.079566993,.0153131,.049553867,.10958011
10.541387,.079048723,.015326547,.049009241,.1090882
10.544024,.078531943,.015339958,.04846618,.10859771
10.546657,.078016289,.015353346,.047924288,.1081083
10.549281,.077502131,.0153667,.047383953,.10762031
10.551899,.076989278,.015380023,.046844989,.10713357
10.55451,.076477736,.015393317,.046307389,.10664808
10.557114,.075967684,.015406576,.045771353,.10616402
10.559711,.075458758,.01541981,.045236483,.10568103
10.562302,.074951321,.01543301,.044703178,.10519946
10.564886,.074445009,.015446185,.044171046,.10471898
10.567463,.073940195,.015459324,.043640472,.10423991
10.570034,.073436499,.015472439,.043111071,.10376192
10.572598,.072934106,.015485524,.042583037,.10328518
10.575155,.072433211,.015498575,.042056564,.10280986
10.577706,.071933433,.015511599,.041531261,.10233561
10.580252,.071434781,.015524599,.041007131,.10186244
10.582789,.070937626,.015537564,.040484563,.10139069
10.585321,.070441589,.015550503,.039963163,.10092001
10.587846,.069947049,.015563407,.039443329,.10045076
10.590365,.069453441,.01557629,.038924471,.099982403
10.592877,.068961322,.015589138,.038407173,.099515475
10.595384,.068470329,.015601962,.037891049,.099049613
10.597884,.067980461,.015614759,.037376095,.098584823
10.600378,.067491896,.015627526,.036862507,.098121285
10.602865,.067004636,.015640263,.036350287,.097658992
10.605347,.0665185,.015652973,.035839237,.097197771
10.607821,.066033676,.015665654,.035329558,.096737795
10.610291,.065549783,.015678314,.034820851,.096278712
10.612754,.065067388,.015690938,.034313712,.09582106
10.615211,.064585924,.015703542,.033807546,.095364295
10.617662,.064105764,.015716115,.033302747,.094908781
10.620107,.063626915,.015728656,.032799315,.094454512
10.622546,.063148998,.015741177,.032296859,.094001144
10.624979,.062672392,.015753668,.031795774,.093549013
10.627406,.062196907,.015766131,.031295858,.093097955
10.629827,.061722543,.01577857,.030797115,.09264797
10.632243,.061249301,.015790982,.030299542,.092199057
10.634653,.060777176,.015803369,.029803144,.09175121
10.637056,.060306363,.015815724,.029308112,.091304608
10.639455,.059836481,.015828058,.028814057,.090858907
10.641847,.059367906,.015840361,.02832137,.090414442
10.644234,.058900271,.015852643,.027829658,.089970879
10.646615,.058433753,.015864899,.027339119,.089528382
10.64899,.057968542,.015877124,.02684995,.089087129
10.65136,.057504267,.015889328,.026361756,.088646777
10.653724,.057041109,.015901504,.025874736,.088207483
10.656082,.056579076,.015913654,.025388885,.08776927
10.658435,.056118164,.01592578,.02490421,.087332115
10.660783,.055658184,.015937882,.024420509,.086895861
10.663124,.055199515,.015949953,.023938179,.086460851
10.665461,.054741777,.015962005,.023456823,.086026728
10.667792,.054284975,.015974034,.022976445,.085593507
10.670117,.05382948,.015986031,.022497436,.085161522
10.672438,.05337492,.015998006,.022019403,.084730431
10.674752,.052921478,.016009955,.021542544,.084300414
10.677062,.052468974,.016021883,.021066662,.083871283
10.679366,.052017588,.016033784,.020591952,.083443224
10.681665,.051567137,.016045662,.020118218,.08301606
10.683959,.051117808,.016057516,.019645657,.082589962
10.686247,.050669599,.016069341,.019174272,.082164928
10.68853,.050222326,.016081145,.018703861,.081740789
10.690808,.049775988,.016092928,.018234428,.081317544
10.693081,.049330767,.016104683,.017766168,.080895364
10.695348,.048886668,.016116412,.017299082,.080474257
10.697611,.048443317,.016128125,.016832776,.080053858
10.699868,.048001088,.016139809,.016367644,.079634532
10.70212,.04755998,.016151467,.015903687,.079216272
10.704368,.047119617,.016163109,.015440509,.078798726
10.70661,.04668038,.016174722,.014978504,.078382254
10.708847,.046242073,.016186316,.014517478,.077966668
10.711079,.045804888,.016197881,.014057624,.077552147
10.713306,.045368448,.016209429,.013598552,.077138342
10.715528,.044933133,.01622095,.013140653,.07672561
10.717746,.044498749,.01623245,.012683732,.076313764
10.719958,.0440653,.016243927,.012227789,.075902812
10.722165,.043632973,.016255377,.01177302,.075492926
10.724368,.043201391,.01626681,.011319032,.075083755
10.726566,.042770747,.01627822,.010866021,.074675471
10.728759,.042341221,.016289603,.010414184,.074268259
10.730947,.041912444,.016300969,.0099631287,.073861755
10.73313,.041484784,.016312309,.0095132478,.073456325
10.73531,.041057877,.01632363,.0090641482,.073051602
10.737483,.040632088,.016334925,.0086162221,.072647952
10.739653,.040207047,.016346201,.0081690783,.072245017
10.741817,.039783124,.016357452,.0077231089,.07184314
10.743977,.039359953,.016368685,.0072779204,.071441986
10.746132,.038937714,.016379895,.0068337102,.071041718
10.748282,.03851641,.016391082,.006390478,.070642337
10.750428,.038096037,.016402248,.0059482236,.07024385
10.752569,.037676603,.016413391,.0055069476,.069846258
10.754706,.037257914,.016424516,.005066453,.069449373
10.756839,.036840159,.016435619,.0046269367,.069053382
10.758966,.036423337,.0164467,.0041883988,.068658277
10.761089,.036007449,.016457757,.003750839,.06826406
10.763208,.03559231,.016468799,.0033140609,.067870565
10.765322,.035178293,.016479811,.0028784578,.067478128
10.767432,.034764834,.016490811,.00244344,.067086235
10.769537,.0343525,.016501784,.0020095971,.0666954
10.771638,.033940908,.016512739,.0015765361,.06630528
10.773734,.033530254,.01652367,.0011444537,.065916054
10.775826,.033120345,.016534586,.0007131531,.065527536
10.777914,.032711372,.016545478,.00028283114,.065139912
10.779998,.032303147,.016556352,-.00014670879,.064753003
10.782077,.031895854,.016567204,-.00057527004,.064366974
10.784151,.031489495,.016578034,-.0010028527,.063981846
10.786222,.031083884,.016588844,-.0014296531,.063597418
10.788287,.030679207,.016599633,-.0018554748,.063213892
10.790349,.030275278,.016610404,-.0022805142,.062831074
10.792407,.029872097,.016621156,-.0027047717,.062448964
10.79446,.029469848,.016631886,-.0031280501,.062067747
10.79651,.029068347,.016642598,-.0035505462,.061687242
10.798554,.028667782,.016653288,-.0039720633,.061307628
10.800595,.028267963,.016663959,-.0043927981,.060928725
10.802632,.027868891,.016674614,-.0048127505,.060550533
10.804665,.027470753,.016685244,-.0052317241,.060173232
10.806693,.027073363,.016695857,-.005649915,.059796643
10.808718,.02667672,.016706452,-.0060673235,.059420764
10.810738,.02628101,.016717024,-.0064837527,.059045777
10.812754,.025886049,.016727578,-.0068993997,.058671501
10.814766,.025491836,.016738113,-.0073142638,.058297936
10.816773,.025098555,.016748626,-.0077281492,.057925262
10.818778,.024705837,.016759126,-.0081414478,.05755312
10.820778,.024314051,.016769603,-.0085537676,.057181869
10.822774,.023923013,.016780062,-.0089653051,.056811329
10.824766,.023532722,.016790504,-.0093760593,.056441505
10.826754,.023143366,.016800921,-.0097858338,.056072567
10.828738,.022754569,.016811326,-.010195022,.055704162
10.830718,.022366708,.016821707,-.010603232,.055336647
10.832694,.021979593,.01683207,-.011010658,.054969843
10.834667,.02159304,.016842421,-.011417499,.054603577
10.836636,.021207418,.016852748,-.011823359,.054238196
10.8386,.020822547,.016863057,-.012228437,.053873532
10.840561,.020438422,.016873347,-.012632732,.053509574
10.842518,.020055043,.016883619,-.013036244,.053146329
10.844471,.019672412,.016893875,-.013438973,.052783798
10.84642,.019290529,.01690411,-.013840918,.052421976
10.848366,.018909393,.016914329,-.014242081,.052060869
10.850307,.018529005,.016924528,-.014642461,.051700469
10.852245,.018149363,.01693471,-.015042057,.051340785
10.854179,.017770469,.016944872,-.015440871,.050981808
10.856111,.017392136,.016955022,-.015839098,.050623368
10.858037,.017014736,.016965149,-.016236344,.050265819
10.85996,.016638085,.016975258,-.016632808,.049908977
10.861879,.016261993,.016985353,-.017028686,.049552672
10.863795,.015886649,.016995428,-.017423779,.049197078
10.865707,.015512052,.017005486,-.01781809,.048842195
10.867616,.015138203,.017015528,-.018211618,.048488025
10.86952,.014765101,.017025549,-.018604361,.048134562
10.871422,.014392559,.017035557,-.018996518,.047781635
10.873319,.014020951,.017045541,-.019387696,.047429599
10.875213,.013649904,.017055513,-.019778285,.047078095
10.877104,.013279418,.017065471,-.02016829,.046727125
10.87899,.012909866,.017075405,-.020557312,.046377044
10.880874,.012540873,.017085325,-.02094575,.046027496
10.882753,.012172629,.017095229,-.021333402,.04567866
10.884629,.011805132,.017105112,-.021720273,.045330536
10.886502,.011438195,.017114984,-.022106554,.044982944
10.888371,.011072005,.017124835,-.022492055,.044636067
10.890237,.010706563,.017134668,-.022876769,.044289898
10.892099,.010341682,.017144488,-.023260899,.043944262
10.893958,.0099775475,.017154289,-.023644242,.043599337
10.895813,.0096141603,.017164074,-.024026804,.043255124
10.897665,.0092513338,.017173842,-.024408778,.042911448
10.899513,.0088892551,.017183593,-.024789969,.042568479
10.901359,.0085277362,.01719333,-.025170572,.042226046
10.9032,.0081669651,.01720305,-.025550392,.041884322
10.905038,.0078069409,.017212749,-.025929429,.041543309
