temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-4.5,27,-4.763258,8.3972502,-21.221565,11.695049,-1.5749013,9.0151157,-19.244204,16.0944,-22.880827,22.318642,-66.624565,20.862909
-4.4000001,27,-4.7481365,8.3705921,-21.154196,11.657923,-1.5699017,8.986496,-19.183111,16.043308,-22.808189,22.247789,-66.413055,20.796679
-4.3000002,27,-4.7330151,8.3439341,-21.086826,11.620795,-1.5649021,8.9578772,-19.122019,15.992214,-22.735552,22.176937,-66.201546,20.730446
-4.1999998,27,-4.7178936,8.317276,-21.019455,11.583668,-1.5599023,8.9292574,-19.060925,15.941121,-22.662914,22.106085,-65.990044,20.664215
-4.0999999,27,-4.7027721,8.2906179,-20.952085,11.546541,-1.5549027,8.9006386,-18.999832,15.890028,-22.590277,22.035231,-65.778534,20.597984
-4,27,-4.6876507,8.2639599,-20.884716,11.509414,-1.5499029,8.8720188,-18.93874,15.838934,-22.517639,21.964378,-65.567032,20.531752
-3.9000001,27,-4.6725292,8.2373028,-20.817345,11.472287,-1.5449033,8.843399,-18.877647,15.787841,-22.445002,21.893526,-65.355522,20.465521
-3.8,27,-4.6574078,8.2106447,-20.749975,11.43516,-1.5399035,8.8147802,-18.816555,15.736748,-22.372364,21.822672,-65.144012,20.399288
-3.7,27,-4.6422863,8.1839867,-20.682606,11.398032,-1.5349039,8.7861605,-18.755463,15.685655,-22.299726,21.75182,-64.93251,20.333057
-3.5999999,27,-4.6271648,8.1573286,-20.615234,11.360906,-1.5299042,8.7575407,-18.694368,15.634561,-22.227089,21.680967,-64.721001,20.266827
-3.5,27,-4.6120434,8.1306705,-20.547865,11.323778,-1.5249045,8.7289219,-18.633276,15.583467,-22.154451,21.610115,-64.509499,20.200594
-3.4000001,27,-4.5969219,8.1040125,-20.480495,11.286651,-1.5199049,8.7003021,-18.572184,15.532374,-22.081814,21.539261,-64.297989,20.134363
-3.3,27,-4.5818005,8.0773544,-20.413126,11.249524,-1.5149051,8.6716824,-18.511091,15.481281,-22.009176,21.468409,-64.086487,20.068132
-3.2,27,-4.566679,8.0506973,-20.345755,11.212397,-1.5099055,8.6430635,-18.449999,15.430187,-21.936539,21.397556,-63.874977,20.0019
-3.0999999,27,-4.5515575,8.0240393,-20.278385,11.175269,-1.5049057,8.6144438,-18.388906,15.379094,-21.863901,21.326702,-63.663471,19.935669
-3,27,-4.5364361,7.9973812,-20.211016,11.138143,-1.4999061,8.585825,-18.327812,15.328001,-21.791264,21.25585,-63.451965,19.869438
-2.9000001,27,-4.5213146,7.9707232,-20.143644,11.101015,-1.4949064,8.5572052,-18.26672,15.276908,-21.718626,21.184998,-63.240456,19.803205
-2.8,27,-4.5061932,7.9440651,-20.076275,11.063889,-1.4899067,8.5285854,-18.205627,15.225814,-21.645988,21.114143,-63.02895,19.736975
-2.7,27,-4.4910717,7.917407,-20.008905,11.026761,-1.484907,8.4999666,-18.144535,15.174721,-21.573351,21.043291,-62.817444,19.670744
