temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag
37.8,27,-14.311034,5.3176203,-24.733379,-3.8886895,-3.4128098,3.8843043,-11.025907,4.2002869,-17.07168,13.319263,-43.176956,9.0335951,-1.2387488,2.2792614,-5.7060189,3.2285213
37.9,27,-14.570471,5.4035192,-25.161173,-3.9797671,-3.4684007,3.9461179,-11.202649,4.2658482,-17.683113,13.493081,-44.129066,8.7628393,-1.2619729,2.3174324,-5.8040571,3.2801113
38,27,-14.830983,5.4897871,-25.590769,-4.0711975,-3.5241947,4.008275,-11.38027,4.3318801,-18.298405,13.668411,-45.087997,8.49119,-1.2852968,2.3558657,-5.9027085,3.3321149
38.1,27,-15.092535,5.5764132,-26.022104,-4.1629663,-3.5801852,4.070766,-11.558741,4.3983698,-18.917406,13.845226,-46.053551,8.2187386,-1.3087169,2.3945532,-6.0019546,3.384521
38.2,27,-15.355089,5.6633849,-26.455118,-4.2550592,-3.6363654,4.1335812,-11.738036,4.4653049,-19.539976,14.023498,-47.025528,7.9455738,-1.3322297,2.4334874,-6.1017776,3.4373178
38.3,27,-15.618613,5.7506909,-26.889761,-4.347466,-3.6927288,4.1967101,-11.91813,4.5326719,-20.166023,14.203193,-48.003769,7.6717229,-1.3558325,2.472661,-6.2021589,3.490494
38.4,27,-15.88307,5.8383207,-27.325968,-4.4401712,-3.7492685,4.2601438,-12.098996,4.6004596,-20.795389,14.384284,-48.988068,7.3972893,-1.3795215,2.5120664,-6.303081,3.5440381
38.5,27,-16.148432,5.9262638,-27.763695,-4.5331683,-3.8059793,4.3238726,-12.280614,4.6686554,-21.428001,14.566739,-49.978287,7.1222825,-1.4032944,2.551697,-6.4045286,3.5979397
38.6,27,-16.414658,6.0145073,-28.202875,-4.6264396,-3.8628531,4.387886,-12.462952,4.7372456,-22.063696,14.750525,-50.974197,6.8468022,-1.4271473,2.5915444,-6.5064812,3.6521866
38.7,27,-16.681711,6.1030407,-28.643452,-4.7199721,-3.919884,4.4521751,-12.645987,4.8062191,-22.702343,14.935615,-51.975609,6.5709243,-1.451077,2.6316018,-6.6089215,3.7067678
38.8,27,-16.949562,6.1918521,-29.085369,-4.813756,-3.9770648,4.5167294,-12.829692,4.8755617,-23.343843,15.12197,-52.982361,6.2946725,-1.4750804,2.6718616,-6.711833,3.761672
38.9,27,-17.218174,6.2809305,-29.528572,-4.9077764,-4.03439,4.5815396,-13.014043,4.9452629,-23.98805,15.309563,-53.99424,6.0181413,-1.4991542,2.7123168,-6.815197,3.8168888
39,27,-17.487518,6.3702664,-29.973011,-5.0020242,-4.0918531,4.6465969,-13.199016,5.0153098,-24.634882,15.498359,-55.011105,5.7413421,-1.5232958,2.7529604,-6.9189992,3.8724074
39.1,27,-17.757551,6.459847,-30.418619,-5.0964847,-4.149447,4.7118912,-13.384583,5.0856895,-25.284184,15.688323,-56.032734,5.464365,-1.5475014,2.7937849,-7.0232191,3.9282162
39.2,27,-18.02824,6.5496602,-30.865337,-5.1911421,-4.2071643,4.7774115,-13.570719,5.1563892,-25.935806,15.879424,-57.058907,5.1872935,-1.5717676,2.8347821,-7.1278386,3.9843035
39.3,27,-18.299557,6.6396966,-31.313122,-5.2859898,-4.2650008,4.8431497,-13.7574,5.2273989,-26.589687,16.071629,-58.0895,4.9101257,-1.5960919,2.8759468,-7.2328439,4.0406604
39.4,27,-18.571455,6.7299433,-31.761902,-5.3810086,-4.322947,4.9090953,-13.944597,5.2987027,-27.245636,16.2649,-59.124252,4.6329823,-1.6204702,2.9172699,-7.3382139,4.0972738
39.5,27,-18.843914,6.8203912,-32.211636,-5.4761925,-4.3809991,4.9752398,-14.13229,5.3702922,-27.903595,16.459206,-60.163048,4.3558545,-1.6449003,2.958746,-7.4439359,4.1541352
39.6,27,-19.116892,6.9110284,-32.662258,-5.5715256,-4.4391494,5.0415735,-14.320452,5.442153,-28.563414,16.654512,-61.205658,4.0788307,-1.6693785,3.0003669,-7.5499897,4.2112327
39.7,27,-19.39035,7.001842,-33.113708,-5.6669922,-4.4973903,5.1080852,-14.509053,5.5142722,-29.22493,16.850782,-62.251854,3.8019967,-1.6939012,3.0421252,-7.6563573,4.2685547
39.8,27,-19.664261,7.0928221,-33.565937,-5.7625842,-4.5557165,5.1747665,-14.698072,5.5866394,-29.888075,17.047981,-63.301506,3.5253565,-1.7184657,3.0840149,-7.7630239,4.3260922
39.9,27,-19.938585,7.1839581,-34.018887,-5.8582864,-4.6141219,5.2416081,-14.887486,5.6592417,-30.552691,17.246078,-64.354385,3.2490034,-1.7430687,3.1260283,-7.8699713,4.3838339
40,27,-20.213295,7.275239,-34.4725,-5.9540882,-4.6725993,5.3086009,-15.077266,5.7320671,-31.218689,17.445036,-65.410332,2.9729531,-1.7677072,3.1681588,-7.9771843,4.4417701
40.1,27,-20.488346,7.366652,-34.92672,-6.0499749,-4.7311416,5.3757339,-15.267385,5.8051028,-31.885914,17.644815,-66.469116,2.6972904,-1.7923775,3.2103987,-8.0846434,4.4998884
40.2,27,-20.763712,7.4581871,-35.381489,-6.1459332,-4.7897429,5.4429984,-15.457824,5.8783383,-32.554241,17.845388,-67.530563,2.4220774,-1.8170767,3.2527418,-8.1923332,4.5581799
40.3,27,-21.039354,7.5498338,-35.836758,-6.2419529,-4.8483968,5.5103855,-15.648554,5.9517603,-33.223576,18.046715,-68.59449,2.1473348,-1.8418018,3.2951808,-8.3002377,4.6166339
40.4,27,-21.315235,7.6415782,-36.292454,-6.3380165,-4.9070959,5.5778837,-15.839547,6.0253558,-33.893745,18.248758,-69.660652,1.8731662,-1.8665487,3.337708,-8.4083366,4.6752391
40.5,27,-21.591328,7.7334132,-36.748539,-6.4341173,-4.9658346,5.6454864,-16.030785,6.0991154,-34.56469,18.451488,-70.728943,1.599564,-1.8913155,3.3803184,-8.5166178,4.7339869
40.6,27,-21.867596,7.8253255,-37.204952,-6.5302405,-5.0246067,5.7131834,-16.22224,6.1730266,-35.236256,18.654867,-71.799126,1.3266124,-1.9160984,3.4230039,-8.6250629,4.7928662
40.7,27,-22.143995,7.9173026,-37.661625,-6.626368,-5.0834041,5.7809625,-16.413883,6.2470746,-35.908279,18.858856,-72.870964,1.0544004,-1.9408933,3.4657569,-8.7336521,4.8518653
40.8,27,-22.420507,8.0093365,-38.118519,-6.7224951,-5.1422219,5.8488183,-16.605696,6.3212514,-36.580715,19.063427,-73.944344,.78291577,-1.9656987,3.5085723,-8.8423738,4.9109764
40.9,27,-22.697077,8.1014128,-38.575554,-6.8186002,-5.2010512,5.916738,-16.797644,6.3955417,-37.253349,19.268536,-75.018982,.51228285,-1.9905096,3.551441,-8.9512062,4.9701867
41,27,-22.973692,8.1935244,-39.032703,-6.9146795,-5.2598886,5.984715,-16.989714,6.4699368,-37.926151,19.474152,-76.094788,.2424843,-2.0153246,3.5943587,-9.0601387,5.029489
41.1,27,-23.250309,8.2856588,-39.489902,-7.0107174,-5.318727,6.0527396,-17.181879,6.5444245,-38.598972,19.680244,-77.171539,-.026401989,-2.0401399,3.6373184,-9.1691532,5.0888729
41.2,27,-23.526924,8.3778133,-39.947136,-7.1067119,-5.3775649,6.1208086,-17.37413,6.619,-39.271763,19.886791,-78.249161,-.29436964,-2.0649548,3.6803169,-9.2782431,5.1483335
41.3,27,-23.803543,8.4699898,-40.404415,-7.2026677,-5.4364028,6.1889224,-17.566467,6.6936622,-39.94458,20.093781,-79.327667,-.56149435,-2.0897701,3.7233541,-9.3874102,5.20787
41.4,27,-24.080154,8.5621843,-40.861729,-7.2985816,-5.4952402,6.2570767,-17.758886,6.768405,-40.617367,20.301197,-80.406982,-.82774925,-2.1145849,3.7664275,-9.4966469,5.2674775
41.5,27,-24.356777,8.6544008,-41.319092,-7.3944631,-5.5540795,6.3252745,-17.951389,6.8432307,-41.290199,20.509035,-81.487167,-1.0932294,-2.1394007,3.8095381,-9.605958,5.327157
41.6,27,-24.633394,8.7466345,-41.776482,-7.4903049,-5.6129169,6.3935103,-18.143967,6.9181323,-41.963009,20.717272,-82.568115,-1.3579028,-2.1642158,3.8526824,-9.7153339,5.3869028
41.7,27,-24.910006,8.8388853,-42.233902,-7.5861092,-5.6717544,6.4617834,-18.336617,6.9931083,-42.635796,20.9259,-83.649803,-1.6217856,-2.1890306,3.895859,-9.8247738,5.446713
41.8,27,-25.186628,8.9311562,-42.691372,-7.6818843,-5.7305937,6.5300961,-18.529346,7.0681591,-43.308628,21.134911,-84.732292,-1.8849642,-2.2138462,3.9390697,-9.9342813,5.5065885
41.9,27,-25.463242,9.0234413,-43.148861,-7.7776213,-5.7894311,6.5984421,-18.722139,7.1432781,-43.981415,21.344286,-85.815445,-2.1473808,-2.2386611,3.9823098,-10.043845,5.5665231
